datetime,location,incident_number,details,retrieval_date
06/18/2025 00:05,298 Queen City Ave: @COMFORT INN,25044326,THEFT,2025-06-19
06/18/2025 17:42,340 Shasta St: @340 Shasta St,25044518,HOMELESS ISSUES,2025-06-19
06/18/2025 16:57,467 BEECH ST,25044502,BAIL CHECK,2025-06-19
06/18/2025 16:57,Prospect St / Pine St,25044507,ARGUMENT,2025-06-19
06/18/2025 16:58,Dix St / Lincoln St,25044505,CHECK AREA FOR PROBLEM,2025-06-19
06/18/2025 16:58,Prospect St / Pine St,25044508,ACCIDENT HIT AND RUN,2025-06-19
06/18/2025 16:59,755 ELM ST: @VETERAN'S PARK,25044506,CHECK SUBJECT,2025-06-19
06/18/2025 17:04,111 WEBSTER ST: @7-ELEVEN WEBSTER ST,25044509,BUSINESS CHECK,2025-06-19
06/18/2025 17:13,491 Somerville St,25044510,CIVIL STANDBY,2025-06-19
06/18/2025 17:22,209 Belmont St,25044511,ANIMAL COMPLAINTS,2025-06-19
06/18/2025 17:24,Hill St / Mcquesten St,25044512,CHECK AREA FOR PROBLEM,2025-06-19
06/18/2025 17:27,GRANITE ST / BEDFORD ST: @GATEWAY PARK,25044513,CHECK SUBJECT,2025-06-19
06/18/2025 17:31,201 HANOVER ST: @201 Hanover St LLC,25044514,CHECK SUBJECT,2025-06-19
06/18/2025 17:34,163 S BEECH ST: @FAMILIES IN TRANSITION  BEECH ST,25044515,SPECIAL ATTENTION,2025-06-19
06/18/2025 17:37,275 CARTIER ST,25044516,BAIL CHECK,2025-06-19
06/18/2025 17:37,95 W Mitchell St,25044517,THEFT,2025-06-19
06/18/2025 17:42,140 Queen City Ave: @FARNUM CENTER,25044521,MISSING PERSON,2025-06-19
06/18/2025 16:56,30 Mechanic St: @YMCA,25044503,ACCIDENT HIT AND RUN,2025-06-19
06/18/2025 17:44,Page St / Hanover St,25044519,PARKING COMPLAINT,2025-06-19
06/18/2025 17:46,389 FRONT ST,25044520,BAIL CHECK,2025-06-19
06/18/2025 17:50,18 Lake Ave: @SHOPPERS PUB AND EATERY,25044522,CHECK CONDITION OF SUBJECT,2025-06-19
06/18/2025 17:59,813 Beech St: @EVERGREEN PLACE,25044523,CHECK CONDITION OF SUBJECT,2025-06-19
06/18/2025 18:03,301 Vinton St,25044524,THEFT,2025-06-19
06/18/2025 18:06,405 VALLEY ST: @MPD,25044525,ADMINISTRATIVE MISC,2025-06-19
06/18/2025 18:13,682 MONTGOMERY ST,25044526,BAIL CHECK,2025-06-19
06/18/2025 18:17,ELM ST / STARK ST,25044527,TRAFFIC STOP,2025-06-19
06/18/2025 18:19,1037 Elm St: @MARGARITAS,25044528,THEFT,2025-06-19
06/18/2025 18:30,26 DOVER ST,25044529,BAIL CHECK,2025-06-19
06/18/2025 18:31,Shasta St / Beech St,25044531,ACCIDENT,2025-06-19
06/18/2025 18:33,43 BRETON AVE,25044530,ADDED INFO TO PREVIOUS CASE,2025-06-19
06/18/2025 18:34,494 PINE ST: @494 PINE ST,25044532,CHECK CONDITION OF SUBJECT,2025-06-19
06/18/2025 18:40,1298 S Porter St: @HOLIDAY INN EXPRESS,25044535,MISSING PERSON CHECK,2025-06-19
06/18/2025 16:57,1030 Clay St,25044504,MENTAL HEALTH ISSUE,2025-06-19
06/18/2025 16:50,19 Cheney Pl,25044501,ANIMAL COMPLAINTS,2025-06-19
06/18/2025 14:26,20 Boynton St: @BUDGET GAS S MAIN,25044466,HANGUP CALL,2025-06-19
06/18/2025 15:49,1056 RIVER RD: @YDC,25044482,SPECIAL ATTENTION,2025-06-19
06/18/2025 14:33,405 Pine St: @CITY LIBRARY EAST,25044468,UNWANTED SUBJECT,2025-06-19
06/18/2025 14:37,77 BREMER ST: @TMC CONVENIENCE,25044469,TRAFFIC STOP,2025-06-19
06/18/2025 14:44,70 ORANGE ST,25044470,NEIGHBOR COMPLAINT,2025-06-19
06/18/2025 14:46,503 Chestnut St,25044471,MEALS ON WHEELS,2025-06-19
06/18/2025 14:47,150 BEECH HILL DR,25044472,MEALS ON WHEELS,2025-06-19
06/18/2025 15:00,410 Hooksett Rd: @LIVINGSTON PARK,25044473,EXPOSURE,2025-06-19
06/18/2025 15:03,380 MERRIMACK ST,25044474,HOMELESS ISSUES,2025-06-19
