time_stamp,last_seen,sensor_index,name,model,firmware_version,latitude,longitude,altitude,temperature_a,temperature_b,time_executed,pm2.5_10minute_a,pm2.5_10minute_b,pm2.5_diff,pm2.5_reldiff,pm2.5_jumpa,pm2.5_jumpb,pm2.5_jumpreldiff,pm2.5_qa_flag,pm2.5_uncorrected_avg,humidity_a,humidity_b,rh_diff,rh_jumpa,rh_jumpb,rh_jumpdiff,rh_qa_flag,rh_avg,pm2.5_corrected,updated_version
2025-07-23 00:00:07,07-22-2025 23:59:41,1202,KSC 19,PA-II,6.06b,42.936554,-72.27102,488,69,None,07-23-2025 00:00:02,1.8,1.5,0.3,18.0,0,0,0,Passed,1.65,73,0,73.0,0,0,0.0,RHZB,73,0,True
2025-07-23 00:00:07,07-22-2025 20:54:24,154045,MHT3 Northwest School Manchester,PA-II-SD,7.02,42.999123,-71.48408,240,74,0,07-23-2025 00:00:02,1.6,1.4,0.2,13.0,0,0,0,T,T,,40,0,0,0,0.0,Passed,,,True
2025-07-23 00:00:07,07-22-2025 23:59:38,154425,MHT4 North End Manchester,PA-II-SD,7.02,43.023964,-71.46163,383,68,0,07-23-2025 00:00:02,5.2,5.1,0.1,2.0,0,0,0,Passed,5.15,53,0,53.0,0,0,0.0,RHZB,53,1.59,True
2025-07-23 00:00:07,07-22-2025 23:58:25,160753,KSC 42,PA-II,7.02,42.957714,-72.3163,521,65,0,07-23-2025 00:00:02,2.2,2.2,0.0,0.0,0,0,0,Passed,2.2,54,0,54.0,0,0,0.0,RHZB,54,0,True
2025-07-23 00:00:07,07-22-2025 23:59:36,175137,MHT9 Hanover Street,PA-II-FLEX,7.04,42.990227,-71.43767,357,73,73,07-23-2025 00:00:02,2.8,2.4,0.4,15.0,0,0,0,Passed,2.6,44,44,0.0,0,0,0.0,Passed,44.0,0.67,True
2025-07-23 00:00:07,07-22-2025 23:58:05,187097,Convergent,PA-II-FLEX,7.04,42.758415,-71.65097,605,75,75,07-23-2025 00:00:02,2.1,1.9,0.2,10.0,0,0,0,Passed,2.0,44,44,0.0,0,0,0.0,Passed,44.0,0.3,True
2025-07-23 00:00:07,05-02-2025 12:16:47,194263,Pembroke_CAMP_40,PA-II-FLEX,7.04,43.13209,-71.46017,204,67,67,07-23-2025 00:00:02,11.8,11.9,0.1,1.0,0,0,0,T,T,,50,50,0,0,0.0,Passed,,,True
2025-07-23 00:00:07,07-22-2025 23:59:12,154041,MHT2 Glosser/Parkside School2 Manchester,PA-II-SD,7.02,42.988956,-71.47882,190,70,0,07-23-2025 00:00:02,4.1,3.9,0.2,5.0,0,0,0,Passed,4.0,52,0,52.0,0,0,0.0,RHZB,52,0.96,True
2025-07-23 00:00:07,07-22-2025 23:59:11,196631,We Share The Air,PA-II-FLEX,7.04,43.18085,-70.866714,140,73,73,07-23-2025 00:00:02,3.5,3.0,0.5,15.0,0,0,0,Passed,3.25,48,48,0.0,0,0,0.0,Passed,48.0,0.78,True
2025-07-23 00:00:07,07-22-2025 23:58:48,220415,Nashua 1,PA-II-ZEN,7.04,42.75815,-71.4652,151,80,80,07-23-2025 00:00:02,3.2,3.4,0.2,6.0,0,0,0,Passed,3.3,35,35,0.0,0,0,0.0,Passed,35.0,1.72,True
