time_stamp,last_seen,sensor_index,name,model,firmware_version,latitude,longitude,altitude,temperature_a,temperature_b,time_executed,pm2.5_10minute_a,pm2.5_10minute_b,pm2.5_diff,pm2.5_reldiff,pm2.5_jumpa,pm2.5_jumpb,pm2.5_jumpreldiff,pm2.5_qa_flag,pm2.5_uncorrected_avg,humidity_a,humidity_b,rh_diff,rh_jumpa,rh_jumpb,rh_jumpdiff,rh_qa_flag,rh_avg,pm2.5_corrected,updated_version
2025-02-18 00:00:03,02-17-2025 23:58:24,1202,KSC 19,PA-II,6.06b,42.936554,-72.27102,488,29,None,02-18-2025 00:00:02,3.3,2.8,0.5,16.0,0,0,0,Passed,3.05,36,0,36.0,0,0,0.0,RHZB,36,1.5,True
2025-02-18 00:00:03,02-17-2025 23:59:21,244091,Center Harbor Fire Station,PA-II-FLEX,7.04,43.708385,-71.46329,558,23,23,02-18-2025 00:00:02,0.5,0.1,0.4,133.0,0,0,0,Passed,0.3,25,25,0.0,0,0,0.0,Passed,25.0,0.59,True
2025-02-18 00:00:03,02-17-2025 23:58:23,221421,Nashua 2,PA-II-FLEX,7.04,42.7496,-71.51419,198,29,29,02-18-2025 00:00:02,1.0,1.6,0.6,46.0,0,0,0,Passed,1.3,27,27,0.0,0,0,0.0,Passed,27.0,1.06,True
2025-02-18 00:00:03,02-17-2025 23:59:17,220415,Nashua 1,PA-II-FLEX,7.04,42.75815,-71.4652,151,25,25,02-18-2025 00:00:02,0.7,0.6,0.1,15.0,0,0,0,Passed,0.65,34,34,0.0,0,0,0.0,Passed,34.0,0.18,True
2025-02-18 00:00:03,02-17-2025 23:58:40,200757,Sutton Mills,PA-II-FLEX,7.04,43.33507,-71.95151,750,21,21,02-18-2025 00:00:02,0.2,1.3,1.1,147.0,0,0,0,Passed,0.75,25,25,0.0,0,0,0.0,Passed,25.0,0.87,True
2025-02-18 00:00:03,02-17-2025 23:58:05,196631,We Share The Air,PA-II-FLEX,7.04,43.18085,-70.866714,140,28,28,02-18-2025 00:00:02,0.2,0.2,0.0,0.0,0,0,0,Passed,0.2,23,23,0.0,0,0,0.0,Passed,23.0,0.67,True
2025-02-18 00:00:03,09-27-2024 09:27:34,194263,Pembroke_CAMP_40,PA-II-FLEX,7.04,43.13209,-71.46017,204,73,73,02-18-2025 00:00:02,2.8,2.7,0.1,4.0,0,0,0,T,,54,54,0.0,0,0,0.0,Passed,54.0,,True
2025-02-18 00:00:03,02-17-2025 23:59:31,189581,New Hampton,PA-II-FLEX,7.04,43.6174,-71.6282,523,24,24,02-18-2025 00:00:02,0.6,0.1,0.5,143.0,0,0,0,Passed,0.35,21,21,0.0,0,0,0.0,Passed,21.0,0.9,True
2025-02-18 00:00:03,02-17-2025 23:58:16,175137,MHT9 Hanover Street,PA-II-FLEX,7.04,42.990227,-71.43767,357,24,24,02-18-2025 00:00:02,0.6,1.3,0.7,74.0,0,0,0,Passed,0.95,43,43,0.0,0,0,0.0,Passed,43.0,0,True
2025-02-18 00:00:03,02-17-2025 23:58:57,154425,MHT4 North End Manchester,PA-II-SD,7.02,43.023964,-71.46163,383,23,0,02-18-2025 00:00:02,1.1,0.4,0.7,93.0,0,0,0,Passed,0.75,45,0,45.0,0,0,0.0,RHZB,45,0,True
2025-02-18 00:00:03,09-30-2024 11:18:01,154045,MHT3 Northwest School Manchester,PA-II-SD,7.02,42.999123,-71.48408,240,85,0,02-18-2025 00:00:02,6.7,6.4,0.3,5.0,0,0,0,T,,37,0,37.0,0,0,0.0,RHZB,37,,True
2025-02-18 00:00:03,02-17-2025 23:59:03,154041,MHT2 Glosser/Parkside School2 Manchester,PA-II-SD,7.02,42.988956,-71.47882,190,19,0,02-18-2025 00:00:02,1.1,0.6,0.5,59.0,0,0,0,Passed,0.85,46,0,46.0,0,0,0.0,RHZB,46,0,True
2025-02-18 00:00:03,02-17-2025 23:59:04,154001,MHT7 Hayward Street,PA-II-SD,7.02,42.980053,-71.44131,297,21,0,02-18-2025 00:00:02,0.8,0.2,0.6,120.0,0,0,0,Passed,0.5,44,0,44.0,0,0,0.0,RHZB,44,0,True
