datetime,location,incident_number,details,retrieval_date
02/05/2025 00:02,Elm St / Merrill St,25008730,TRAFFIC STOP,2025-02-06
02/05/2025 15:22,101 S Commercial St: @HILTON GARDEN INN,25008897,FOUND PROPERTY,2025-02-06
02/05/2025 14:23,395 Kearney Cir,25008885,ALARM BURGLARY,2025-02-06
02/05/2025 14:24,Manchester St / Union St,25008886,TRAFFIC STOP,2025-02-06
02/05/2025 14:27,201 Jack Lovering Dr: @MCLAUGHLIN MIDDLE SCHOOL,25008887,DRUG ACTIVITY,2025-02-06
02/05/2025 14:32,2500 N River Rd,25008888,,2025-02-06
02/05/2025 14:33,Clarke St / Ray St,25008889,ANIMAL COMPLAINTS,2025-02-06
02/05/2025 14:38,177 Lake Ave: @FAMILIES IN TRANSITION #177,25008890,SEXUAL ASSAULT,2025-02-06
02/05/2025 14:46,Rimmon St / Kelley St,25008891,MEDICAL PROBLEM,2025-02-06
02/05/2025 14:47,297 Maple St: @Hunt Memorial Pool,25008892,CHECK AREA FOR PROBLEM,2025-02-06
02/05/2025 14:49,Second St / Harvell St,25008893,ACCIDENT WITH INJURY,2025-02-06
02/05/2025 15:06,129 March Ave: @HOME DEPOT,25008894,ACCIDENT HIT AND RUN,2025-02-06
02/05/2025 15:10,1 City Hall Plz: @CITY HALL,25008895,ALARM HOLDUP,2025-02-06
02/05/2025 15:13,2391 Brown Ave: @ALLTOWN MOBILE,25008896,CHECK CONDITION OF SUBJECT,2025-02-06
02/05/2025 15:25,720 Valley St,25008898,FRAUD,2025-02-06
02/05/2025 14:12,1 Elliot Way: @ELLIOT HOSPITAL,25008883,PROPERTY,2025-02-06
02/05/2025 15:27,460 Elm St: @MARKET BASKET,25008899,CHECK SUBJECT,2025-02-06
02/05/2025 15:44,Valley St,25008901,CHECK AREA FOR PROBLEM,2025-02-06
02/05/2025 15:45,27 Springfield Rd: @GOFFSTOWN,25008900,K9 TRAINING,2025-02-06
02/05/2025 15:47,1056 River Rd: @YDC,25008902,SPECIAL ATTENTION,2025-02-06
02/05/2025 15:47,242 BEECH ST: @7-ELEVEN VALLEY ST,25008903,BUSINESS CHECK,2025-02-06
02/05/2025 15:50,272 Wayne St,25008906,CHECK CONDITION OF SUBJECT,2025-02-06
02/05/2025 15:50,352 S Main St: @Debbies Barbershop,25008904,SUSPICIOUS ACTIVITY,2025-02-06
02/05/2025 15:51,394 Second St: @FAMILIES IN TRANSITION #394,25008908,CHECK CONDITION OF SUBJECT,2025-02-06
02/05/2025 15:53,1500 S Willow St: @JC Penney (Mall of New Hampshir,25008905,CRIMINAL MISCHIEF,2025-02-06
02/05/2025 15:58,198 Pearl St: @MAPLE LEAF HEALTH CARE,25008907,ADDED INFO TO PREVIOUS CASE,2025-02-06
02/05/2025 16:11,619 Montgomery St,25008909,ADDED INFO TO PREVIOUS CASE,2025-02-06
02/05/2025 16:12,456 Union St: @1269 CAFE,25008910,DISORDERLY CONDUCT,2025-02-06
02/05/2025 14:20,269 Merrimack St,25008884,CHECK SUBJECT,2025-02-06
02/05/2025 14:11,405 Valley St: @MPD,25008882,ADMINISTRATIVE MISC,2025-02-06
02/05/2025 16:32,DOWNTOWN,25008912,SPECIAL ATTENTION,2025-02-06
02/05/2025 13:02,Hanover St / Elm St,25008867,TRAFFIC STOP,2025-02-06
02/05/2025 11:39,Granite St / Commercial St,25008855,TRAFFIC STOP,2025-02-06
02/05/2025 11:43,Mammoth Rd / Reservoir Ave,25008856,TRAFFIC STOP,2025-02-06
02/05/2025 11:58,1500 s willow st,25008857,ADMINISTRATIVE MISC,2025-02-06
02/05/2025 12:03,200 John E Devine Dr: @BJ'S WHOLESALE CLUB,25008859,UNWANTED SUBJECT,2025-02-06
02/05/2025 12:03,300 Chestnut St: @SUPERIOR COURT HOUSE,25008858,CHECK SUBJECT,2025-02-06
02/05/2025 12:06,115 HARVELL ST: @WOLFE PARK,25008860,SPECIAL ATTENTION,2025-02-06
02/05/2025 12:23,Granite St / Canal St,25008861,TRAFFIC STOP,2025-02-06
02/05/2025 12:28,211 Tarrytown Rd: @TARRYTOWN HSG,25008862,CRIMINAL MISCHIEF,2025-02-06
02/05/2025 12:34,Elm St / Lake Ave,25008863,TRAFFIC STOP,2025-02-06
02/05/2025 12:36,242 BEECH ST: @7-ELEVEN VALLEY ST,25008864,BUSINESS CHECK,2025-02-06
02/05/2025 12:49,623 Silver St,25008866,BURGLARY IN PROGRESS,2025-02-06
02/05/2025 12:49,83 TRAHAN ST: @ELMWOOD GARDEN COMMUNITY,25008865,SPECIAL ATTENTION,2025-02-06
02/05/2025 13:03,199 MANCHESTER ST: @FIT - FAMLIES IN TRANSITION,25008868,SPECIAL ATTENTION,2025-02-06
02/05/2025 14:05,Queen City Ave / Brown Ave,25008881,TRAFFIC STOP,2025-02-06
02/05/2025 13:09,1111 S Willow St: @STARBUCKS (1111 S WILLOW ST SHO,25008870,UNWANTED SUBJECT,2025-02-06
02/05/2025 13:12,875 Elm St: @RED OAK,25008872,THEFT,2025-02-06
02/05/2025 13:12,Maple St / Concord St,25008869,TRAFFIC STOP,2025-02-06
02/05/2025 13:14,TARRYTOWN RD / NELSON ST,25008871,TRAFFIC STOP,2025-02-06
