plan_name,per_kwh,last_update,company_name,pricing,monthly_charge,phone,intro_price,rate_good_for,cancel_fee,rate_end,renewable_energy,comments,provider,rate_type,retrieval_date
Amherst GREEN Default Small Commercial,$0.08880,8/18/2025,Amherst Community Power,Fixed,No,866-968-8065,No,6 months,No,"October, 2025 *Last meter read*",26.20 %,Stable rate program offered by Standard Power open to customers in Amherst. Go to https://StandardPower.com/Communities/Amherst/ for more information and to sign up.,Eversource,SmallCommercialCompare,2025-09-05
Power Your Tomorrow Fixed - 18,$0.11870,8/19/2025,Town Square Energy,Fixed,No,1-877-430-0093,No,18 months,No,*Last meter read*,0.00 %,18 monthly bill cycles fixed at 11.87 cents/kWh. See full terms in terms of service.,Eversource,ResidentialCompare,2025-09-05
Rollinsford GREEN Default,$0.08880,8/18/2025,Rollinsford Community Power,Fixed,No,866-968-8065,No,7 months,No,"November, 2025 *Last meter read*",26.20 %,Stable rate program offered by Standard Power open to customers in Rollinsford. Go to https://StandardPower.com/Communities/Rollinsford/ for more information and to sign up.,Eversource,ResidentialCompare,2025-09-05
Rollinsford GREEN 100%,$0.11950,8/18/2025,Rollinsford Community Power,Fixed,No,866-968-8065,No,7 months,No,"November, 2025 *Last meter read*",100.00 %,Stable rate program offered by Standard Power open to customers in Rollinsford. Go to https://StandardPower.com/Communities/Rollinsford/ for more information and to sign up.,Eversource,ResidentialCompare,2025-09-05
Rollinsford GREEN 50%,$0.10300,8/18/2025,Rollinsford Community Power,Fixed,No,866-968-8065,No,7 months,No,"November, 2025 *Last meter read*",50.00 %,Stable rate program offered by Standard Power open to customers in Rollinsford. Go to https://StandardPower.com/Communities/Rollinsford/ for more information and to sign up.,Eversource,ResidentialCompare,2025-09-05
Rollinsford BASIC,$0.08840,8/18/2025,Rollinsford Community Power,Fixed,No,866-968-8065,No,7 months,No,"November, 2025 *Last meter read*",25.20 %,Stable rate program offered by Standard Power open to customers in Rollinsford. Go to https://StandardPower.com/Communities/Rollinsford/ for more information and to sign up.,Eversource,ResidentialCompare,2025-09-05
SmartEnergy -  Web Only Rate,$0.10890,8/5/2025,SmartEnergy,Fixed,No,1-800-760-1207,No,4 months,No,*Last meter read*,100.00 %,Enjoy our fixed rate for 4 months!,Eversource,ResidentialCompare,2025-09-05
Swanzey 100,$0.13900,9/4/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Adds voluntary renewable energy (NH Class I RECs) to total 100%.,Eversource,ResidentialCompare,2025-09-05
Swanzey Basic,$0.11100,9/4/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Meets state minimum renewable energy requirements.,Eversource,ResidentialCompare,2025-09-05
Swanzey Standard,$0.11471,9/4/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-09-05
Swanzey 50,$0.12050,9/4/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Adds voluntary renewable energy (NH Class I RECs) to total 50%.,Eversource,ResidentialCompare,2025-09-05
Think Clean 12,$0.11900,8/31/2025,Think Energy,Fixed,No,1-833-669-3080,No,12 months,No,*Last meter read*,100.00 %,Think Clean 12,Eversource,ResidentialCompare,2025-09-05
Think Clean 36,$0.12500,8/31/2025,Think Energy,Fixed,No,1-833-669-3080,No,36 months,No,*Last meter read*,100.00 %,Think Clean 36,Eversource,ResidentialCompare,2025-09-05
Think Basic 3,$0.09900,9/1/2025,Think Energy,Fixed,No,1-833-669-3080,No,3 months,No,*Last meter read*,0.00 %,Comments:,Eversource,ResidentialCompare,2025-09-05
Power Your Tomorrow Variable - 1,$0.08890,8/19/2025,Town Square Energy,Variable,No,1-877-430-0093,No,1 months,No,*Last meter read*,0.00 %,You will be given the opportunity to earn a rebate equal to 10% of what you paid toward the electricity supply charges during your first ten full billing cycles.,Eversource,ResidentialCompare,2025-09-05
SimpleClean,$0.16490,9/1/2025,"XOOM Energy New Hampshire, LLC",Variable,No,1-888-997-8979,No,1 months,No,*Last meter read*,50.00 %,Comments:,Eversource,ResidentialCompare,2025-09-05
Power Your Tomorrow Variable - 1 Green,$0.09890,8/19/2025,Town Square Energy,Variable,No,1-877-430-0093,No,1 months,No,*Last meter read*,100.00 %,You will be given the opportunity to earn a rebate equal to 10% of what you paid toward the electricity supply charges during your first ten full billing cycles.,Eversource,ResidentialCompare,2025-09-05
Power Your Tomorrow - 4 Green,$0.14740,8/19/2025,Town Square Energy,Fixed,No,1-877-430-0093,No,4 months,$50.00,*Last meter read*,100.00 %,4 monthly bill cycles fixed at 14.74 cents/kWh. See full terms in terms of service.,Eversource,ResidentialCompare,2025-09-05
Power Your Tomorrow Fixed - 3,$0.08870,8/19/2025,Town Square Energy,Fixed,No,1-877-430-0093,No,3 months,No,*Last meter read*,0.00 %,3 monthly bill cycles fixed at 8.87 cents/kWh. See full terms in terms of service.,Eversource,ResidentialCompare,2025-09-05
Power Your Tomorrow Fixed - 4,$0.12000,8/19/2025,Town Square Energy,Fixed,No,1-877-430-0093,No,4 months,$50.00,*Last meter read*,0.00 %,4 monthly bill cycles fixed at 12.00 cents/kWh. See full terms in terms of service.,Eversource,ResidentialCompare,2025-09-05
Power Your Tomorrow Fixed - 15,$0.11170,8/19/2025,Town Square Energy,Fixed,No,1-877-430-0093,No,15 months,No,*Last meter read*,0.00 %,15 monthly bill cycles fixed at 11.17 cents/kWh. See full terms in terms of service.,Eversource,ResidentialCompare,2025-09-05
Power Your Tomorrow Fixed - 12,$0.11770,8/19/2025,Town Square Energy,Fixed,No,1-877-430-0093,No,12 months,No,*Last meter read*,0.00 %,12 monthly bill cycles fixed at 11.77 cents/kWh. See full terms in terms of service.,Eversource,ResidentialCompare,2025-09-05
Wilton 100,$0.13900,9/4/2025,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Includes voluntary renewable energy (NH Class I RECs) to total 100%.,Eversource,ResidentialCompare,2025-09-05
