datetime,location,incident_number,details,retrieval_date
07/01/2025 00:00,WILSON ST / VALLEY ST,25047855,TRAFFIC STOP,2025-07-02
07/01/2025 14:48,155 Agnes St: @BIRON ST APTS #155,25048044,MEALS ON WHEELS,2025-07-02
07/01/2025 15:44,670 N Commercial St: @BRADY SULLIVAN BLDG (JEFFERS,25048051,SUSPICIOUS ACTIVITY,2025-07-02
07/01/2025 15:43,39 BEECH ST: @Beech St Shelter,25048050,SPECIAL ATTENTION,2025-07-02
07/01/2025 15:42,Spring St / Canal St,25048052,CHECK CONDITION OF SUBJECT,2025-07-02
07/01/2025 15:19,Union St / Spruce St South Back,25048048,HANGUP CALL,2025-07-02
07/01/2025 14:59,405 Valley St: @MPD,25048047,WARRANT,2025-07-02
07/01/2025 14:52,176 Varney St,25048045,MEDICAL PROBLEM,2025-07-02
07/01/2025 14:42,67 Prospect St: @PROSPECT MANOR,25048046,FRAUD,2025-07-02
07/01/2025 15:47,443 Laurel St,25048054,FRAUD,2025-07-02
07/01/2025 14:41,890 Union St,25048043,INVOLUNTARY EMERG. ADMISSION,2025-07-02
07/01/2025 14:35,38 Ainsworth Ave,25048041,UNWANTED SUBJECT,2025-07-02
07/01/2025 14:35,1951 Front St,25048042,MEALS ON WHEELS,2025-07-02
07/01/2025 14:33,180 MERRIMACK ST,25048040,CHECK SUBJECT,2025-07-02
07/01/2025 14:31,26 Janet Lee Ct,25048039,MEDICAL PROBLEM,2025-07-02
07/01/2025 14:28,MANCHESTER ST / UNION ST,25048037,HOTSPOT PATROL,2025-07-02
07/01/2025 15:45,39 Beech St: @Beech St Shelter,25048053,HOMELESS ISSUES,2025-07-02
07/01/2025 15:52,168 MANCHESTER ST: @WINONA SOCIAL CLUB,25048055,CHECK SUBJECT,2025-07-02
07/01/2025 14:24,25048038,,,2025-07-02
07/01/2025 16:33,725 GOLD ST: @WALMART,25048064,BUSINESS CHECK,2025-07-02
07/01/2025 17:03,755 ELM ST: @VETERAN'S PARK,25048071,CHECK SUBJECT,2025-07-02
07/01/2025 16:53,4 Main St: @SMOKERS HAVEN,25048070,BROADCAST MESSAGE,2025-07-02
07/01/2025 16:52,4 Main St: @SMOKERS HAVEN,25048069,BROADCAST MESSAGE,2025-07-02
07/01/2025 16:46,25 VINE ST: @VICTORY PARKING GARAGE,25048068,SPECIAL ATTENTION,2025-07-02
07/01/2025 16:40,405 Valley St: @MPD,25048067,WARRANT,2025-07-02
07/01/2025 16:33,7 DIONNE DR,25048065,TRAFFIC STOP,2025-07-02
07/01/2025 16:25,755 ELM ST: @VETERAN'S PARK,25048063,SPECIAL ATTENTION,2025-07-02
07/01/2025 15:52,59 Plummer St,25048059,CHECK CONDITION OF SUBJECT,2025-07-02
07/01/2025 16:15,801 perimeter rd,25048061,BUSINESS CHECK,2025-07-02
07/01/2025 16:13,68 Elm St: @NH STATE LIQUOR STORE 10,25048062,ACCIDENT,2025-07-02
07/01/2025 16:09,555 Canal St: @WALL ST TOWERS,25048060,UNWANTED SUBJECT,2025-07-02
07/01/2025 15:58,SPRUCE ST / TARRYTOWN RD,25048058,TRAFFIC STOP,2025-07-02
07/01/2025 15:56,Langdon St / Canal St,25048057,HOMELESS ISSUES,2025-07-02
07/01/2025 15:54,YDC,25048056,SPECIAL ATTENTION,2025-07-02
07/01/2025 14:24,405 VALLEY ST: @MPD,25048036,WAGON TRANSPORT,2025-07-02
07/01/2025 14:20,185 Queen City Ave: @ELLIOT AT RIVERS EDGE,25048035,ANIMAL BITES,2025-07-02
07/01/2025 17:06,501 UNION ST: @BRONSTEIN PARK,25048072,SPECIAL ATTENTION,2025-07-02
07/01/2025 13:08,360 UNION ST: @SEVEN DAYS MARKET,25048009,TRAFFIC STOP,2025-07-02
07/01/2025 13:19,1 City Hall Plz,25048015,COUNTERFIET,2025-07-02
07/01/2025 13:18,755 ELM ST: @VETERAN'S PARK,25048013,SPECIAL ATTENTION,2025-07-02
07/01/2025 13:18,435 Union St,25048014,HOMELESS ISSUES,2025-07-02
07/01/2025 13:12,100 Bremer St,25048012,MEDICAL PROBLEM,2025-07-02
07/01/2025 13:10,1275 Hanover St,25048011,HOMELESS ISSUES,2025-07-02
07/01/2025 13:08,23 Country Club Dr: @WASHINGTON PARK #23,25048010,MENTAL HEALTH ISSUE,2025-07-02
07/01/2025 13:04,443 CHESTNUT ST: @VICTORY PARK,25048007,HOMELESS ISSUES,2025-07-02
07/01/2025 13:24,61 Trahan St,25048017,,2025-07-02
07/01/2025 13:04,193 Union St,25048008,HOMELESS ISSUES,2025-07-02
07/01/2025 13:00,405 VALLEY ST: @MPD,25048006,WAGON TRANSPORT,2025-07-02
07/01/2025 12:55,275 HANOVER ST: @HANOVER STREET MARKET,25048005,BUSINESS CHECK,2025-07-02
07/01/2025 12:37,OLD WELLINGTON RD / EASTERN AVE,25048002,TRAFFIC STOP,2025-07-02
07/01/2025 12:35,Weston Rd / S Willow St,25048003,BROADCAST MESSAGE,2025-07-02
07/01/2025 12:34,77 Prospect St: @1st floor,25048004,VIOLATION OF A CITY ORDINANCE,2025-07-02
07/01/2025 13:22,501 UNION ST: @BRONSTEIN PARK,25048016,SPECIAL ATTENTION,2025-07-02
07/01/2025 13:25,443 CHESTNUT ST: @VICTORY PARK,25048018,SPECIAL ATTENTION,2025-07-02
07/01/2025 14:10,280 Oak St,25048034,ALARM BURGLARY,2025-07-02
07/01/2025 13:42,100 Mcgregor St: @CATHOLIC MEDICAL CENTER,25048028,CHECK CONDITION OF SUBJECT,2025-07-02
07/01/2025 14:09,Union St / Valley St,25048033,ANIMAL COMPLAINTS,2025-07-02
07/01/2025 14:02,2871 Brown Ave: @PINE ISLAND PARK,25048032,ILLEGAL DUMPING,2025-07-02
07/01/2025 13:46,850 Hayward St: @HALLSVILLE COURT ELDERLY HSG BLDG,25048031,FRAUD,2025-07-02
07/01/2025 13:44,104 WILSON ST,25048029,ABANDON VEHICLE,2025-07-02
07/01/2025 13:44,1153 Union St,25048030,ALARM BURGLARY,2025-07-02
07/01/2025 13:43,324 CARTIER ST,25048027,ANIMAL COMPLAINTS,2025-07-02
07/01/2025 13:39,755 ELM ST: @VETERAN'S PARK,25048024,CHECK SUBJECT,2025-07-02
07/01/2025 13:27,193 BELL ST,25048019,ADDED INFO TO PREVIOUS CASE,2025-07-02
07/01/2025 13:39,296 S Willow St: @SAL'S PIZZA,25048025,THEFT,2025-07-02
07/01/2025 13:38,175 Chestnut St: @KALIVAS HI RISE,25048026,DISORDERLY CONDUCT,2025-07-02
07/01/2025 13:38,755 ELM ST: @VETERAN'S PARK,25048023,CHECK SUBJECT,2025-07-02
07/01/2025 13:33,"42°59'12.20""N / 071°25'38.49""W",25048021,SPECIAL ATTENTION,2025-07-02
07/01/2025 13:32,2301 Brown Ave: @SUPER 8 MOTEL,25048022,INVOLUNTARY EMERG. ADMISSION,2025-07-02
07/01/2025 13:29,228 SPRUCE ST,25048020,CHECK SUBJECT,2025-07-02
07/01/2025 17:06,675 Hooksett Rd,25048073,THEFT,2025-07-02
07/01/2025 17:06,2287 Brown Ave: @MCDONALDS 2287 Brown Ave,25048074,CRIMINAL THREATENING,2025-07-02
07/01/2025 00:10,28 HANOVER ST: @INDUSTRY EAST BAR,25047856,TRAFFIC STOP,2025-07-02
07/01/2025 20:23,926 Elm St: @PEARSON'S JEWELERS,25048121,ALARM TAMPER,2025-07-02
07/01/2025 20:47,5 Mollie Dr,25048126,CHECK CONDITION OF SUBJECT,2025-07-02
07/01/2025 20:47,32 WELCH AVE,25048125,DISORDERLY CONDUCT,2025-07-02
07/01/2025 20:43,HALL ST / CENTRAL ST,25048124,TRAFFIC STOP,2025-07-02
07/01/2025 20:36,2287 Brown Ave: @MCDONALDS 2287 Brown Ave,25048123,BROADCAST MESSAGE,2025-07-02
07/01/2025 20:34,3 Sundial Ave: @SOUTH BLDG 3 SUNDIAL AVE,25048122,MENTAL HEALTH ISSUE,2025-07-02
07/01/2025 20:23,MANCHESTER ST / UNION ST,25048120,TRAFFIC STOP,2025-07-02
07/01/2025 20:19,W HANCOCK ST / SECOND ST,25048119,TRAFFIC STOP,2025-07-02
07/01/2025 21:14,111 Amherst St: @DEVINE MILLIMET & BRANCH,25048128,CHECK AREA FOR PROBLEM,2025-07-02
07/01/2025 20:13,394 Second St: @FAMILIES IN TRANSITION #394,25048118,ALARM BURGLARY,2025-07-02
07/01/2025 20:07,HANOVER ST / PINE ST,25048117,TRAFFIC STOP,2025-07-02
07/01/2025 20:04,1 Elliot Way: @ELLIOT HOSPITAL,25048116,CHECK SUBJECT,2025-07-02
07/01/2025 20:00,44 Welch Ave,25048115,UNRULY JUVENILE,2025-07-02
07/01/2025 19:43,6 Riddle St,25048114,CIVIL ISSUE,2025-07-02
07/01/2025 19:34,445 Willow St: @VALLEY STREET JAIL,25048113,ARGUMENT,2025-07-02
07/01/2025 20:57,336 Lovering St,25048127,MENTAL HEALTH ISSUE,2025-07-02
07/01/2025 21:19,26 Welch Ave,25048129,ASSAULT,2025-07-02
07/01/2025 19:11,405 Valley St: @MPD,25048110,ASSIST OTHER AGENCY,2025-07-02
07/01/2025 22:50,Amory St / Notre Dame Ave,25048138,ACCIDENT,2025-07-02
07/01/2025 23:55,217 UNION ST: @Brothers Express,25048143,TRAFFIC STOP,2025-07-02
07/01/2025 23:54,1 Elliot Way: @ELLIOT HOSPITAL,25048144,SEXUAL ASSAULT,2025-07-02
07/01/2025 23:48,0 ENGINE 5 ACCESS,25048142,TRAFFIC STOP,2025-07-02
07/01/2025 23:38,196 S Willow St: @MCDONALDS S WILLOW,25048141,CHECK AREA FOR PROBLEM,2025-07-02
