visibility,valid,humidity,humidity_S,wind,barometricPressure,validTimeLocal,validTimeUtc,temperature_S,temperature,high,low,feelsLikeTemperature,feelsLikeTemperature_S,dewPoint,shortDescription,description,icon,iconCode,lastUpdated,sunsetTime,sunriseTime,city_name,latitude,longitude
4.0,True,93,93,E 9 mph,30.04,2025-05-09T17:57:29-0400,1746827849,46,46,62,45,41,41,44,Rain,Rain,18,12,2025-04-09 17:57:00,07:56 PM,05:27 AM,Alton,43.46,-71.22
4.0,True,96,96,ENE 6 mph,29.99,2025-05-09T17:55:00-0400,1746827700,45,45,59,45,42,42,44,Rain,Rain,18,12,2025-04-09 17:55:00,07:56 PM,05:30 AM,Amherst,42.86,-71.62
5.0,True,97,97,ENE 5 mph,29.98,2025-05-09T18:00:26-0400,1746828026,44,44,59,44,41,41,43,Rain,Rain,18,12,2025-04-09 18:00:00,07:58 PM,05:31 AM,Antrim,43.04,-71.95
6.0,True,88,88,E 6 mph,30.03,2025-05-09T17:53:50-0400,1746827630,48,48,59,48,45,45,45,Rain,Rain,18,12,2025-04-09 17:53:00,07:58 PM,05:28 AM,Ashland,43.7,-71.63
4.0,True,100,100,NW 17 mph,30.07,2025-05-09T17:56:39-0400,1746827799,48,48,56,48,42,42,48,Rain,Rain,18,12,2025-04-09 17:56:00,07:58 PM,05:25 AM,Bartlett,44.07,-71.28
4.0,True,88,88,ENE 8 mph,30.03,2025-05-09T17:54:46-0400,1746827686,47,47,63,46,43,43,44,Rain,Rain,18,12,2025-04-09 17:54:00,07:57 PM,05:28 AM,Belmont,43.44,-71.48
4.0,True,96,96,NE 4 mph,29.98,2025-05-09T17:53:37-0400,1746827617,44,44,60,44,43,43,43,Rain,Rain,18,12,2025-04-09 17:53:00,07:58 PM,05:31 AM,Bennington,43.0,-71.92
5.0,True,96,96,SE 7 mph,30.06,2025-05-09T18:00:28-0400,1746828028,46,46,50,46,42,42,45,Light Rain,Light Rain,12,11,2025-04-09 18:00:00,07:59 PM,05:24 AM,Berlin city,44.49,-71.26
7.0,True,86,86,E 5 mph,30.01,2025-05-09T17:58:10-0400,1746827890,48,48,53,44,46,46,44,Rain,Rain,18,12,2025-04-09 17:58:00,08:00 PM,05:26 AM,Bethlehem,44.28,-71.69
5.0,True,94,94,E 7 mph,29.99,2025-05-09T18:00:29-0400,1746828029,45,45,55,45,41,41,43,Rain,Rain,18,12,2025-04-09 18:00:00,07:59 PM,05:30 AM,Blodgett Landing,43.38,-72.04
5.0,True,94,94,ENE 5 mph,29.99,2025-05-09T17:58:34-0400,1746827914,46,46,59,46,44,44,44,Rain,Rain,18,12,2025-04-09 17:58:00,07:59 PM,05:30 AM,Bradford,43.27,-71.96
5.0,True,87,87,E 7 mph,30.02,2025-05-09T18:00:30-0400,1746828030,48,48,58,47,45,45,44,Rain,Rain,18,12,2025-04-09 18:00:00,07:59 PM,05:28 AM,Bristol,43.6,-71.75
7.0,True,87,87,E 7 mph,30.0,2025-05-09T17:52:30-0400,1746827550,47,47,54,47,44,44,44,Rain,Rain,18,12,2025-04-09 17:52:00,08:00 PM,05:29 AM,Canaan,43.65,-72.02
4.0,True,87,87,ENE 8 mph,30.06,2025-05-09T17:54:15-0400,1746827655,49,49,60,48,46,46,45,Rain,Rain,18,12,2025-04-09 17:54:00,07:57 PM,05:26 AM,Center Ossipee,43.75,-71.15
