plan_name,per_kwh,last_update,company_name,pricing,monthly_charge,phone,intro_price,rate_good_for,cancel_fee,rate_end,renewable_energy,comments,provider,rate_type,retrieval_date
Amherst GREEN Default Small Commercial,$0.08880,7/21/2025,Amherst Community Power,Fixed,No,866-968-8065,No,6 months,No,"October, 2025 *Last meter read*",26.20 %,Stable rate program offered by Standard Power open to customers in Amherst. Go to https://StandardPower.com/Communities/Amherst/ for more information and to sign up.,Eversource,SmallCommercialCompare,2025-07-27
Rollinsford GREEN Default,$0.08880,7/21/2025,Rollinsford Community Power,Fixed,No,866-968-8065,No,7 months,No,"November, 2025 *Last meter read*",26.20 %,Stable rate program offered by Standard Power open to customers in Rollinsford. Go to https://StandardPower.com/Communities/Rollinsford/ for more information and to sign up.,Eversource,ResidentialCompare,2025-07-27
Milford GREEN 50%,$0.11648,7/21/2025,Milford Community Power,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",50.00 %,Stable rate program offered by Standard Power open to customers in Milford. Go to https://MilfordCommunityPower.com for more information and to sign up.,Eversource,ResidentialCompare,2025-07-27
Milford DEFAULT,$0.10568,7/21/2025,Milford Community Power,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",24.30 %,Stable rate program offered by Standard Power open to customers in Milford. Go to https://MilfordCommunityPower.com for more information and to sign up.,Eversource,ResidentialCompare,2025-07-27
New Boston GREEN Default,$0.10968,7/21/2025,New Boston Community Power,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",34.30 %,Stable rate program offered by Standard Power open to customers in New Boston. Go to https://NewBostonCommunityPower.com for more information and to sign up.,Eversource,ResidentialCompare,2025-07-27
New Boston GREEN 50%,$0.11648,7/21/2025,New Boston Community Power,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",50.00 %,Stable rate program offered by Standard Power open to customers in New Boston. Go to https://NewBostonCommunityPower.com for more information and to sign up.,Eversource,ResidentialCompare,2025-07-27
New Boston BASIC,$0.10568,7/21/2025,New Boston Community Power,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",24.30 %,Stable rate program offered by Standard Power open to customers in New Boston. Go to https://NewBostonCommunityPower.com for more information and to sign up.,Eversource,ResidentialCompare,2025-07-27
New Boston GREEN 100%,$0.13648,7/21/2025,New Boston Community Power,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",100.00 %,Stable rate program offered by Standard Power open to customers in New Boston. Go to https://NewBostonCommunityPower.com for more information and to sign up.,Eversource,ResidentialCompare,2025-07-27
14 Month Renewable Fixed,$0.13940,7/2/2025,"North American Power & Gas, LLC",Fixed,No,877-572-9965,No,14 months,$10.00,*Last meter read*,100.00 %,$10.00 for each month remaining in your contract.,Eversource,ResidentialCompare,2025-07-27
14 Month Standard Fixed,$0.12990,7/2/2025,"North American Power & Gas, LLC",Fixed,No,877-572-9965,No,14 months,$10.00,*Last meter read*,0.00 %,$10.00 for each month remaining in your contract.,Eversource,ResidentialCompare,2025-07-27
12 Month Standard Fixed,$0.12790,7/2/2025,"North American Power & Gas, LLC",Fixed,No,877-572-9965,No,12 months,$10.00,*Last meter read*,0.00 %,$10.00 for each month remaining in your contract.,Eversource,ResidentialCompare,2025-07-27
Rollinsford BASIC,$0.08840,7/21/2025,Rollinsford Community Power,Fixed,No,866-968-8065,No,7 months,No,"November, 2025 *Last meter read*",25.20 %,Stable rate program offered by Standard Power open to customers in Rollinsford. Go to https://StandardPower.com/Communities/Rollinsford/ for more information and to sign up.,Eversource,ResidentialCompare,2025-07-27
Rollinsford GREEN 50%,$0.10300,7/21/2025,Rollinsford Community Power,Fixed,No,866-968-8065,No,7 months,No,"November, 2025 *Last meter read*",50.00 %,Stable rate program offered by Standard Power open to customers in Rollinsford. Go to https://StandardPower.com/Communities/Rollinsford/ for more information and to sign up.,Eversource,ResidentialCompare,2025-07-27
Rollinsford GREEN 100%,$0.11950,7/21/2025,Rollinsford Community Power,Fixed,No,866-968-8065,No,7 months,No,"November, 2025 *Last meter read*",100.00 %,Stable rate program offered by Standard Power open to customers in Rollinsford. Go to https://StandardPower.com/Communities/Rollinsford/ for more information and to sign up.,Eversource,ResidentialCompare,2025-07-27
SmartEnergy -  Web Only Rate,$0.12560,7/15/2025,SmartEnergy,Fixed,No,1-800-760-1207,No,6 months,No,*Last meter read*,100.00 %,Enjoy our fixed rate for 6 months!,Eversource,ResidentialCompare,2025-07-27
