visibility,valid,humidity,humidity_S,wind,barometricPressure,validTimeLocal,validTimeUtc,temperature_S,temperature,high,low,feelsLikeTemperature,feelsLikeTemperature_S,dewPoint,shortDescription,description,icon,iconCode,lastUpdated,sunsetTime,sunriseTime,city_name,latitude,longitude
10,True,51,51,W 15 mph,29.55,2025-06-01T11:55:04-0400,1748793304,57,57,61,48,54,54,39,M Cloudy,Mostly Cloudy,06,28,2025-05-01 11:55:00,08:19 PM,05:06 AM,Alton,43.46,-71.22
10,True,52,52,W 13 mph,29.59,2025-06-01T11:55:20-0400,1748793320,58,58,69,49,56,56,41,Cloudy,Cloudy,07,26,2025-05-01 11:55:00,08:18 PM,05:10 AM,Amherst,42.86,-71.62
10,True,55,55,W 14 mph,29.58,2025-06-01T11:55:01-0400,1748793301,55,55,66,47,51,51,39,Cloudy,Cloudy,07,26,2025-05-01 11:55:00,08:20 PM,05:11 AM,Antrim,43.04,-71.95
10,True,51,51,W 12 mph,29.55,2025-06-01T11:57:56-0400,1748793476,56,56,61,48,53,53,39,Cloudy,Cloudy,07,26,2025-05-01 11:57:00,08:21 PM,05:07 AM,Ashland,43.7,-71.63
9,True,56,56,W 22 mph,29.51,2025-06-01T11:52:31-0400,1748793151,55,55,62,48,50,50,40,M Cldy/Wind,Mostly Cloudy/Wind,06,28,2025-05-01 11:52:00,08:21 PM,05:04 AM,Bartlett,44.07,-71.28
10,True,48,48,W 14 mph,29.56,2025-06-01T11:58:37-0400,1748793517,58,58,61,48,55,55,39,Cloudy,Cloudy,07,26,2025-05-01 11:58:00,08:20 PM,05:08 AM,Belmont,43.44,-71.48
10,True,56,56,W 14 mph,29.58,2025-06-01T11:54:45-0400,1748793285,55,55,67,47,51,51,39,Cloudy,Cloudy,07,26,2025-05-01 11:54:00,08:20 PM,05:11 AM,Bennington,43.0,-71.92
10,True,62,62,W 12 mph,29.51,2025-06-01T12:00:38-0400,1748793638,50,50,62,45,45,45,37,Cloudy,Cloudy,07,26,2025-05-01 12:00:00,08:22 PM,05:03 AM,Berlin city,44.49,-71.26
10,True,60,60,WSW 10 mph,29.54,2025-06-01T11:59:55-0400,1748793595,50,50,58,43,46,46,36,Cloudy,Cloudy,07,26,2025-05-01 11:59:00,08:23 PM,05:05 AM,Bethlehem,44.28,-71.69
10,True,55,55,W 13 mph,29.58,2025-06-01T12:00:39-0400,1748793639,53,53,59,45,49,49,38,Cloudy,Cloudy,07,26,2025-05-01 12:00:00,08:22 PM,05:10 AM,Blodgett Landing,43.38,-72.04
10,True,54,54,W 13 mph,29.57,2025-06-01T11:57:16-0400,1748793436,56,56,62,48,52,52,39,Cloudy,Cloudy,07,26,2025-05-01 11:57:00,08:21 PM,05:10 AM,Bradford,43.27,-71.96
10,True,49,49,W 13 mph,29.55,2025-06-01T11:54:33-0400,1748793273,57,57,60,48,54,54,38,Cloudy,Cloudy,07,26,2025-05-01 11:54:00,08:21 PM,05:08 AM,Bristol,43.6,-71.75
10,True,56,56,W 12 mph,29.56,2025-06-01T11:56:15-0400,1748793375,53,53,59,46,50,50,38,Cloudy,Cloudy,07,26,2025-05-01 11:56:00,08:22 PM,05:09 AM,Canaan,43.65,-72.02
10,True,51,51,W 15 mph,29.54,2025-06-01T12:00:42-0400,1748793642,57,57,60,50,54,54,39,M Cloudy,Mostly Cloudy,06,28,2025-05-01 12:00:00,08:19 PM,05:05 AM,Center Ossipee,43.75,-71.15
10,True,54,54,W 17 mph,29.53,2025-06-01T11:54:53-0400,1748793293,55,55,60,48,51,51,39,Cloudy,Cloudy,07,26,2025-05-01 11:54:00,08:21 PM,05:06 AM,Center Sandwich,43.81,-71.44
10,True,56,56,W 12 mph,29.59,2025-06-01T11:59:45-0400,1748793585,55,55,59,48,52,52,40,Cloudy,Cloudy,07,26,2025-05-01 11:59:00,08:23 PM,05:12 AM,Charlestown,43.24,-72.42
10,True,53,53,W 14 mph,29.58,2025-06-01T11:50:53-0400,1748793053,56,56,59,48,52,52,39,Cloudy,Cloudy,07,26,2025-05-01 11:50:00,08:23 PM,05:11 AM,Claremont city,43.38,-72.34
9,True,73,73,SW 11 mph,29.5,2025-06-01T11:56:34-0400,1748793394,48,48,60,44,43,43,40,Cloudy,Cloudy,07,26,2025-05-01 11:56:00,08:25 PM,05:02 AM,Colebrook,44.89,-71.49
10,True,47,47,W 14 mph,29.57,2025-06-01T12:00:45-0400,1748793645,60,60,65,49,57,57,40,M Cloudy,Mostly Cloudy,06,28,2025-05-01 12:00:00,08:19 PM,05:09 AM,Concord city,43.23,-71.56
10,True,48,48,W 13 mph,29.57,2025-06-01T11:55:51-0400,1748793351,59,59,64,48,56,56,39,Cloudy,Cloudy,07,26,2025-05-01 11:55:00,08:20 PM,05:09 AM,Contoocook,43.22,-71.71
10,True,44,44,W 15 mph,29.51,2025-06-01T11:57:57-0400,1748793477,62,62,62,49,59,59,39,Cloudy,Cloudy,07,26,2025-05-01 11:57:00,08:20 PM,05:04 AM,Conway,43.98,-71.13
10,True,49,49,W 14 mph,29.58,2025-06-01T11:58:10-0400,1748793490,58,58,66,47,55,55,39,Cloudy,Cloudy,07,26,2025-05-01 11:58:00,08:17 PM,05:09 AM,Derry,42.89,-71.28
10,True,48,48,W 13 mph,29.55,2025-06-01T11:57:26-0400,1748793446,61,61,66,50,59,59,41,Cloudy,Cloudy,07,26,2025-05-01 11:57:00,08:16 PM,05:06 AM,Dover city,43.19,-70.88
10,True,51,51,W 12 mph,29.55,2025-06-01T11:56:21-0400,1748793381,60,60,65,49,58,58,42,M Cloudy,Mostly Cloudy,06,28,2025-05-01 11:56:00,08:16 PM,05:06 AM,Durham,43.14,-70.92
10,True,49,49,W 13 mph,29.59,2025-06-01T12:00:29-0400,1748793629,59,59,70,49,57,57,40,Cloudy,Cloudy,07,26,2025-05-01 12:00:00,08:18 PM,05:09 AM,East Merrimack,42.87,-71.48
10,True,54,54,W 14 mph,29.57,2025-06-01T11:53:39-0400,1748793219,55,55,59,47,51,51,38,Cloudy,Cloudy,07,26,2025-05-01 11:53:00,08:23 PM,05:10 AM,Enfield,43.64,-72.15
10,True,47,47,W 13 mph,29.56,2025-06-01T11:57:59-0400,1748793479,61,61,66,49,59,59,41,M Cloudy,Mostly Cloudy,06,28,2025-05-01 11:57:00,08:17 PM,05:07 AM,Epping,43.03,-71.09
10,True,50,50,WSW 13 mph,29.56,2025-06-01T11:55:20-0400,1748793320,61,61,71,50,58,58,42,Cloudy,Cloudy,07,26,2025-05-01 11:55:00,08:16 PM,05:07 AM,Exeter,42.98,-70.95
10,True,51,51,W 14 mph,29.54,2025-06-01T11:55:49-0400,1748793349,58,58,62,49,55,55,40,M Cloudy,Mostly Cloudy,06,28,2025-05-01 11:55:00,08:18 PM,05:06 AM,Farmington,43.4,-71.07
10,True,50,50,W 15 mph,29.56,2025-06-01T11:52:43-0400,1748793163,57,57,61,49,54,54,39,Cloudy,Cloudy,07,26,2025-05-01 11:52:00,08:20 PM,05:08 AM,Franklin city,43.45,-71.67
10,True,52,52,W 14 mph,29.58,2025-06-01T11:52:12-0400,1748793132,57,57,66,48,54,54,40,Cloudy,Cloudy,07,26,2025-05-01 11:52:00,08:19 PM,05:09 AM,Goffstown,43.02,-71.6
