datetime,location,incident_number,retrieval_date,details
01/20/2025 00:23,229,25004744,2025-01-21,
01/20/2025 16:06,49 Manchester St,25004861,2025-01-21,ASSIST FIRE
01/20/2025 16:13,97 Belmont St,25004863,2025-01-21,CHECK SUBJECT
01/20/2025 16:14,456 Union St: @1269 CAFE,25004864,2025-01-21,HOMELESS ISSUES
01/20/2025 16:17,410 HOOKSETT RD: @LIVINGSTON PARK,25004865,2025-01-21,SPECIAL ATTENTION
01/20/2025 16:24,100 Mcgregor St: @CATHOLIC MEDICAL CENTER,25004867,2025-01-21,LOST PROPERTY
01/20/2025 16:24,93 S MAPLE ST: @DAW KUN THAI,25004866,2025-01-21,SPECIAL ATTENTION
01/20/2025 16:25,1500 S Willow St: @Mall of NH (Mall of New Hampshi,25004868,2025-01-21,ACCIDENT HIT AND RUN
01/20/2025 16:28,162 Reed St,25004869,2025-01-21,ACCIDENT HIT AND RUN
01/20/2025 16:38,215 Circle Rd: @POND VIEW TERRACE #215,25004870,2025-01-21,NOISE COMPLAINT
01/20/2025 16:39,242 Beech St: @7-ELEVEN VALLEY ST,25004871,2025-01-21,CHECK SUBJECT
01/20/2025 16:41,655 S Willow St: @GOLDEN CORRAL (THE SHOPPES AT S ,25004873,2025-01-21,ALARM BURGLARY
01/20/2025 16:43,MCGREGOR ST / W BRIDGE ST: @MCGREGOR SQUARE,25004872,2025-01-21,TRAFFIC STOP
01/20/2025 16:47,210 EDDY RD: @MOBIL MART,25004874,2025-01-21,BUSINESS CHECK
01/20/2025 16:48,RIVER RD / W WEBSTER ST,25004875,2025-01-21,TRAFFIC STOP
01/20/2025 16:49,AMHERST ST / DUTTON ST,25004876,2025-01-21,HOTSPOT PATROL
01/20/2025 16:52,413 Manchester St,25004877,2025-01-21,ADDED INFO TO PREVIOUS CASE
01/20/2025 16:54,1 Elliot Way: @ELLIOT HOSPITAL BOILER HOUSE,25004878,2025-01-21,ADDED INFO TO PREVIOUS CASE
01/20/2025 16:54,Maple St / Arlington St,25004879,2025-01-21,TRAFFIC STOP
01/20/2025 16:56,265 Cedar St,25004880,2025-01-21,CIVIL ISSUE
01/20/2025 17:02,ELM/NORTH,25004881,2025-01-21,TRAFFIC STOP
01/20/2025 16:09,235 CONANT ST,25004862,2025-01-21,ADDED INFO TO PREVIOUS CASE
01/20/2025 16:04,405 Valley St: @MPD,25004860,2025-01-21,LOST PROPERTY
01/20/2025 17:04,BEECH ST / SHASTA ST,25004882,2025-01-21,SPECIAL ATTENTION
01/20/2025 15:56,ELM/BRIDGE,25004859,2025-01-21,TRAFFIC STOP
01/20/2025 14:23,75 Parkside Ave: @PARKSIDE MIDDLE SCHOOL,25004840,2025-01-21,ALARM BURGLARY
01/20/2025 14:26,1298 S Porter St: @HOLIDAY INN EXPRESS,25004841,2025-01-21,DRUG ACTIVITY
01/20/2025 14:32,180 Notre Dame Ave,25004842,2025-01-21,CHECK AREA FOR PROBLEM
01/20/2025 14:45,Chestnut St / Lake Ave,25004844,2025-01-21,ACCIDENT
