datetime,location,incident_number,details,retrieval_date
01/23/2025 00:03,250 Valley St: @CREMELAND DRIVE IN,25005444,TRAFFIC STOP,2025-01-24
01/23/2025 14:54,340 Hanover St,25005608,ADDED INFO TO PREVIOUS CASE,2025-01-24
01/23/2025 13:43,35 Amherst St: @DISTRICT COURT,25005595,WANTED PERSON CHECK,2025-01-24
01/23/2025 13:46,117 Queen City Ave,25005596,BUSINESS CHECK,2025-01-24
01/23/2025 13:49,535 Beech St: @CENTRAL HIGH SCHOOL,25005597,CHILD IN NEED OF SERVICES,2025-01-24
01/23/2025 13:50,535 Beech St: @CENTRAL HIGH SCHOOL,25005598,CHILD IN NEED OF SERVICES,2025-01-24
01/23/2025 13:52,161 Garden Dr: @MANCHESTER GARDENS #161,25005600,SUSPICIOUS PERSON,2025-01-24
01/23/2025 14:02,39 Beech St: @Beech St Shelter,25005601,THEFT,2025-01-24
01/23/2025 14:07,335 SOMERVILLE ST: @HARBOR HOMES FOR VETERANS (BAE,25005602,CHECK CONDITION OF SUBJECT,2025-01-24
01/23/2025 14:09,405 VALLEY ST: @MPD,25005603,ADMINISTRATIVE MISC,2025-01-24
01/23/2025 14:18,Spring St / Elm St,25005604,TRAFFIC STOP,2025-01-24
01/23/2025 14:23,219 Cedar St,25005605,ASSIST OTHER AGENCY,2025-01-24
01/23/2025 14:29,25 Lowell St,25005606,STOLEN MOTOR VEHICLE,2025-01-24
01/23/2025 14:45,405 Valley St: @MPD,25005607,TRIPLE I REQUEST,2025-01-24
01/23/2025 14:55,129 Ahern St,25005609,ASSIST OTHER AGENCY,2025-01-24
01/23/2025 00:10,242 BEECH ST: @7-ELEVEN VALLEY ST,25005445,BUSINESS CHECK,2025-01-24
01/23/2025 14:59,Fourth St / School St,25005610,STOLEN MOTOR VEHICLE,2025-01-24
01/23/2025 15:06,1 Crusader Way: @MEMORIAL HIGH SCHOOL,25005611,ACCIDENT,2025-01-24
01/23/2025 15:08,636 Second St,25005614,MEALS ON WHEELS,2025-01-24
01/23/2025 15:10,245 Hooksett Rd: @Puritan Backroom,25005612,ACCIDENT WITH INJURY,2025-01-24
01/23/2025 15:16,218 S Lincoln St,25005613,ASSIST OTHER AGENCY,2025-01-24
01/23/2025 15:18,2 COLLEGE PARK DR: @HOOKSETT,25005615,K9 TRAINING,2025-01-24
01/23/2025 15:35,460 Elm St: @MARKET BASKET,25005616,ALARM PANIC,2025-01-24
01/23/2025 15:39,266 Pearl St,25005617,FOUND CHILD UNDER 12 YOA,2025-01-24
01/23/2025 15:48,69 Eastern Ave: @OLD WELLINGTON RD APTS #69,25005618,MENTAL HEALTH ISSUE,2025-01-24
01/23/2025 15:51,405 Valley St: @MPD,25005619,ADMINISTRATIVE MISC,2025-01-24
01/23/2025 15:55,21 Front St: @HAMPTON INN,25005620,ACCIDENT,2025-01-24
01/23/2025 16:06,39 BEECH ST: @Beech St Shelter,25005621,SPECIAL ATTENTION,2025-01-24
01/23/2025 13:41,1050 Gold St: @ENTERPRISE CAR SALES,25005594,RECOVERED STOLEN MV,2025-01-24
01/23/2025 13:38,1000 Elm St: @BAR HARBOR BANK,25005593,MEDICAL PROBLEM,2025-01-24
01/23/2025 13:28,289 Maple St: @RAY CROSS FIELD (PONY LEAGUE PARK),25005592,CHECK CONDITION OF SUBJECT,2025-01-24
01/23/2025 13:20,445 Willow St: @VALLEY STREET JAIL,25005590,WAGON TRANSPORT,2025-01-24
01/23/2025 11:21,5 S Beech St,25005565,TRAFFIC STOP,2025-01-24
01/23/2025 11:24,458 Lake Ave,25005568,ASSIST OTHER AGENCY,2025-01-24
01/23/2025 11:24,1875 S WILLOW ST: @BOBS DISCOUNT FURNITURE,25005566,SPECIAL ATTENTION,2025-01-24
01/23/2025 11:27,500 N Commercial St: @ACCESS PAYROLL SERVICES,25005567,SPECIAL ATTENTION,2025-01-24
01/23/2025 11:28,1056 River Rd: @YDC,25005570,MENTAL HEALTH ISSUE,2025-01-24
01/23/2025 11:28,926 S WILLOW ST: @CHIPOTLE MEXICAN RESTAURANT,25005569,BUSINESS CHECK,2025-01-24
01/23/2025 11:30,65 Highcrest Rd,25005571,ALARM PANIC,2025-01-24
01/23/2025 11:44,148 Loudon Rd,25005572,,2025-01-24
01/23/2025 11:51,405 VALLEY ST: @MPD,25005573,ADMINISTRATIVE MISC,2025-01-24
01/23/2025 11:53,85 S Main St: @7-ELEVEN S MAIN ST,25005574,TRAFFIC STOP,2025-01-24
01/23/2025 11:56,1 Crusader Way: @MEMORIAL HIGH SCHOOL,25005575,ASSAULT,2025-01-24
01/23/2025 11:59,95 George St,25005576,SUBPOENA SERVICE,2025-01-24
01/23/2025 11:59,405 Valley St,25005577,ADMINISTRATIVE MISC,2025-01-24
01/23/2025 12:12,405 Valley St: @MPD,25005578,FRAUD,2025-01-24
01/23/2025 12:24,39 Beech St: @Beech St Shelter,25005579,SPECIAL ATTENTION,2025-01-24
01/23/2025 12:24,405 Valley St: @MPD,25005580,FRAUD,2025-01-24
01/23/2025 12:29,427 Cartier St,25005584,ASSIST OTHER AGENCY,2025-01-24
01/23/2025 12:41,Bodwell Rd / Sunset Pine Dr,25005581,TRAFFIC STOP,2025-01-24
01/23/2025 12:45,ROUNDSTONE DR / RAYMOND WIECZOREK DR,25005582,DISABLED MOTOR VEHICLE,2025-01-24
01/23/2025 12:46,55 Log St: @BASS ISLAND ESTATES #55,25005583,TRESPASSING,2025-01-24
01/23/2025 12:51,55 Amory St: @PARISEAU HIGH RISE,25005585,CHECK CONDITION OF SUBJECT,2025-01-24
01/23/2025 12:54,111 ISLAND POND RD: @ASSUMPTION GREEK ORTHODOX CHU,25005587,SPECIAL ATTENTION,2025-01-24
01/23/2025 13:03,290 Merrimack St,25005588,CHECK SUBJECT,2025-01-24
01/23/2025 13:15,405 Valley St: @MPD,25005589,ADMINISTRATIVE MISC,2025-01-24
01/23/2025 13:19,Bridge St / Candia Rd,25005591,ACCIDENT,2025-01-24
01/23/2025 16:08,39 Beech St: @Beech St Shelter,25005622,UNWANTED SUBJECT,2025-01-24
01/23/2025 16:09,39 Beech St: @Beech St Shelter,25005623,UNWANTED SUBJECT,2025-01-24
01/23/2025 16:11,Auburn St / Union St,25005624,TRAFFIC STOP,2025-01-24
01/23/2025 18:43,327 Kimball St,25005653,,2025-01-24
