visibility,valid,humidity,humidity_S,wind,barometricPressure,validTimeLocal,validTimeUtc,temperature_S,temperature,high,low,feelsLikeTemperature,feelsLikeTemperature_S,dewPoint,shortDescription,description,icon,iconCode,lastUpdated,sunsetTime,sunriseTime,city_name,latitude,longitude
10.0,True,78,78,N 1 mph,30.23,2024-12-28T18:00:14-0500,1735426814,35,35,37,23,35,35,29,Cloudy,Cloudy,07,26,2024-11-28 18:00:00,04:16 PM,07:17 AM,Alton,43.46,-71.22
5.0,True,89,89,N 0 mph,30.23,2024-12-28T17:51:58-0500,1735426318,38,38,41,27,38,38,35,Cloudy,Cloudy,07,26,2024-11-28 17:51:00,04:20 PM,07:16 AM,Amherst,42.86,-71.62
0.25,True,83,83,NNW 1 mph,30.22,2024-12-28T18:00:26-0500,1735426826,39,39,43,26,39,39,34,Fog,Fog,11,20,2024-11-28 18:00:00,04:20 PM,07:18 AM,Antrim,43.04,-71.95
10.0,True,73,73,NNW 1 mph,30.24,2024-12-28T17:56:02-0500,1735426562,33,33,34,20,33,33,25,Cloudy,Cloudy,07,26,2024-11-28 17:56:00,04:17 PM,07:19 AM,Ashland,43.7,-71.63
4.0,True,97,97,W 16 mph,30.22,2024-12-28T17:54:10-0500,1735426450,31,31,36,23,20,20,30,Cloudy,Cloudy,07,26,2024-11-28 17:54:00,04:14 PM,07:19 AM,Bartlett,44.07,-71.28
10.0,True,76,76,N 0 mph,30.23,2024-12-28T17:51:15-0500,1735426275,34,34,37,23,34,34,27,Cloudy,Cloudy,07,26,2024-11-28 17:51:00,04:17 PM,07:18 AM,Belmont,43.44,-71.48
0.25,True,87,87,N 1 mph,30.22,2024-12-28T17:57:02-0500,1735426622,38,38,43,26,38,38,35,Fog,Fog,11,20,2024-11-28 17:57:00,04:20 PM,07:18 AM,Bennington,43.0,-71.92
10.0,True,84,84,W 6 mph,30.21,2024-12-28T18:00:29-0500,1735426829,31,31,33,10,24,24,26,Cloudy,Cloudy,07,26,2024-11-28 18:00:00,04:13 PM,07:20 AM,Berlin city,44.49,-71.26
10.0,True,88,88,W 1 mph,30.21,2024-12-28T18:00:27-0500,1735426827,29,29,33,15,29,29,26,Cloudy,Cloudy,07,26,2024-11-28 18:00:00,04:15 PM,07:21 AM,Bethlehem,44.28,-71.69
8.0,True,80,80,NNW 0 mph,30.22,2024-12-28T17:54:46-0500,1735426486,34,34,38,23,34,34,29,Cloudy,Cloudy,07,26,2024-11-28 17:54:00,04:20 PM,07:20 AM,Blodgett Landing,43.38,-72.04
9.0,True,80,80,NNW 1 mph,30.22,2024-12-28T17:59:08-0500,1735426748,36,36,41,25,36,36,31,Cloudy,Cloudy,07,26,2024-11-28 17:59:00,04:20 PM,07:19 AM,Bradford,43.27,-71.96
10.0,True,76,76,NNW 1 mph,30.23,2024-12-28T17:57:51-0500,1735426671,32,32,35,22,32,32,26,Cloudy,Cloudy,07,26,2024-11-28 17:57:00,04:18 PM,07:19 AM,Bristol,43.6,-71.75
10.0,True,83,83,N 1 mph,30.22,2024-12-28T17:50:43-0500,1735426243,32,32,35,17,32,32,27,Cloudy,Cloudy,07,26,2024-11-28 17:50:00,04:19 PM,07:20 AM,Canaan,43.65,-72.02
10.0,True,77,77,W 2 mph,30.23,2024-12-28T17:57:13-0500,1735426633,33,33,36,21,33,33,27,Cloudy,Cloudy,07,26,2024-11-28 17:57:00,04:15 PM,07:17 AM,Center Ossipee,43.75,-71.15
10.0,True,79,79,W 7 mph,30.23,2024-12-28T17:59:18-0500,1735426758,33,33,35,22,27,27,27,Cloudy,Cloudy,07,26,2024-11-28 17:59:00,04:16 PM,07:19 AM,Center Sandwich,43.81,-71.44
6.0,True,89,89,N 2 mph,30.22,2024-12-28T17:55:20-0500,1735426520,36,36,39,22,36,36,33,Cloudy,Cloudy,07,26,2024-11-28 17:55:00,04:22 PM,07:21 AM,Charlestown,43.24,-72.42
