datetime,location,incident_number,details,retrieval_date
09/07/2025 00:00,299 Hanover St,25068894,ACCIDENT WITH INJURY,2025-09-08
09/07/2025 17:24,401 S Willow St: @FOTIA GREEK TAVERNA,25069073,CRIMINAL MISCHIEF,2025-09-08
09/07/2025 15:21,725 GOLD ST: @WALMART,25069042,CHECK SUBJECT,2025-09-08
09/07/2025 15:36,Union St / Webster St,25069048,CRIMINAL MISCHIEF,2025-09-08
09/07/2025 15:38,68 March Ave: @SPIRIT HALLOWEEN,25069046,FOUND CHILD UNDER 12 YOA,2025-09-08
09/07/2025 15:41,235 Myrtle St: @MT CARMEL HOME,25069047,ASSIST FIRE,2025-09-08
09/07/2025 15:48,221 W Shore Ave,25069049,ACCIDENT HIT AND RUN,2025-09-08
09/07/2025 15:49,39 Beech St: @Beech St Shelter,25069054,THEFT,2025-09-08
09/07/2025 15:52,Beech St / Valley St,25069050,CHECK CONDITION OF SUBJECT,2025-09-08
09/07/2025 15:53,494 Elm St: @MURPHYS TAPROOM,25069051,ACCIDENT WITH INJURY,2025-09-08
09/07/2025 15:56,199 Manchester St: @FIT - FAMLIES IN TRANSITION,25069052,CHECK CONDITION OF SUBJECT,2025-09-08
09/07/2025 15:59,Amherst St / Union St,25069053,CHECK CONDITION OF SUBJECT,2025-09-08
09/07/2025 16:03,955 Goffs Falls Rd: @POST OFFICE GOFFS FALLS,25069055,ABANDON VEHICLE,2025-09-08
09/07/2025 16:09,40 VALLEY ST: @Valley Street Cemetery,25069056,SPECIAL ATTENTION,2025-09-08
09/07/2025 16:15,641 Elm St: @KISAKI JAPANESE CUISINE,25069057,MENTAL HEALTH ISSUE,2025-09-08
09/07/2025 16:25,210 EDDY RD: @MOBIL MART,25069059,BUSINESS CHECK,2025-09-08
09/07/2025 16:32,56 Notre Dame Ave,25069062,CHECK CONDITION OF SUBJECT,2025-09-08
09/07/2025 16:33,479 Maple St,25069061,CHECK AREA FOR PROBLEM,2025-09-08
09/07/2025 16:36,Concord St / Maple St,25069063,CHECK AREA FOR PROBLEM,2025-09-08
09/07/2025 16:45,199 Manchester St: @FIT - FAMLIES IN TRANSITION,25069064,ASSAULT,2025-09-08
09/07/2025 16:46,W Merrimack St / Franklin St,25069065,EXPOSURE,2025-09-08
09/07/2025 17:09,300 Merrimack St,25069066,HOMELESS ISSUES,2025-09-08
09/07/2025 17:09,Granite St / S Main St: @GRANITE SQUARE,25069067,CHECK AREA FOR PROBLEM,2025-09-08
09/07/2025 17:12,214 CHESTNUT ST: @KALIVAS PARK,25069068,CHECK SUBJECT,2025-09-08
09/07/2025 17:14,S Willow St / Kaye St,25069069,ACCIDENT,2025-09-08
09/07/2025 17:16,260 Mammoth Rd: @rite aid,25069074,TRESPASSING,2025-09-08
09/07/2025 17:20,1500 S Willow St,25069071,ACCIDENT,2025-09-08
09/07/2025 15:21,1500 S Willow St: @Mall of New Hampshire,25069043,BROADCAST MESSAGE,2025-09-08
09/07/2025 15:18,230 Eastern Ave: @DEERHAVEN PRESERVE #230,25069041,MEDICAL PROBLEM,2025-09-08
09/07/2025 15:18,148 Clear Creek Way,25069044,MEDICAL PROBLEM,2025-09-08
09/07/2025 13:23,341 Amherst St,25069027,ACCIDENT HIT AND RUN,2025-09-08
09/07/2025 12:01,UNION ST / AMHERST ST,25069015,CHECK SUBJECT,2025-09-08
09/07/2025 12:03,401 S Willow St: @FOTIA GREEK TAVERNA,25069016,CHECK AREA FOR PROBLEM,2025-09-08
09/07/2025 12:15,314 Granite St: @Cabinet Outlet,25069018,DRUG ACTIVITY,2025-09-08
09/07/2025 12:31,296 Massabesic St,25069019,THEFT IN PROGRESS,2025-09-08
09/07/2025 12:41,458 Kimball St,25069020,CHECK CONDITION OF SUBJECT,2025-09-08
09/07/2025 12:53,445 WILLOW ST: @VALLEY STREET JAIL,25069021,WAGON TRANSPORT,2025-09-08
09/07/2025 13:02,70 Rimmon St,25069024,ANIMAL COMPLAINTS,2025-09-08
09/07/2025 13:04,ELM ST / LOWELL ST,25069022,HOTSPOT PATROL,2025-09-08
09/07/2025 13:05,371 S Willow St,25069025,HOMELESS ISSUES,2025-09-08
09/07/2025 13:05,111 ISLAND POND RD: @ASSUMPTION GREEK ORTHODOX CHU,25069023,SPECIAL ATTENTION,2025-09-08
09/07/2025 13:23,14 PEARL ST: @BREEZEWAY PUB,25069026,TRAFFIC STOP,2025-09-08
09/07/2025 13:27,301 Amherst St,25069028,CHECK CONDITION OF SUBJECT,2025-09-08
09/07/2025 15:08,Union St / Summer St South Back: @STANTON PARK,25069040,FIGHT,2025-09-08
09/07/2025 13:55,MAPLE ST / BROOK ST,25069029,TRAFFIC STOP,2025-09-08
09/07/2025 14:01,210 LOWELL ST: @PIZZA BY ROCCO,25069030,BUSINESS CHECK,2025-09-08
09/07/2025 14:01,593 Kelley St,25069031,ANIMAL COMPLAINTS,2025-09-08
09/07/2025 14:05,625 Mammoth Rd: @DERRYFIELD COUNTRY CLUB,25069032,FOUND PROPERTY,2025-09-08
09/07/2025 14:07,1500 S Willow St: @Best Buy (Mall of New Hampshire,25069035,ACCIDENT HIT AND RUN,2025-09-08
09/07/2025 14:08,156 Hanover St: @nh inst of art,25069033,ALARM BURGLARY,2025-09-08
09/07/2025 14:09,10 MAMMOTH RD: @MAMMOTH ROAD CONVENIENCE,25069034,BUSINESS CHECK,2025-09-08
09/07/2025 14:17,1500 S Willow St: @Mall of NH (Mall of New Hampshi,25069036,UNWANTED SUBJECT,2025-09-08
09/07/2025 14:25,43 Cartier St,25069037,LANDLORD TENANT DISPUTE,2025-09-08
09/07/2025 14:28,860 Candia Rd: @WENDY'S CANDIA RD,25069038,ANIMAL COMPLAINTS,2025-09-08
09/07/2025 14:37,750 Silver St,25069039,MISSING PERSON,2025-09-08
09/07/2025 17:24,777 S Willow St: @PLATO'S CLOSET (S WILLOW ST PLAZ,25069072,UNWANTED SUBJECT,2025-09-08
09/07/2025 17:29,BRIDGE ST / BEECH ST,25069075,TRAFFIC STOP,2025-09-08
09/07/2025 11:55,767 Dix St,25069014,CHECK AREA FOR PROBLEM,2025-09-08
09/07/2025 17:31,19 Stockholm St,25069076,CIVIL STANDBY,2025-09-08
