plan_name,per_kwh,last_update,company_name,pricing,monthly_charge,phone,intro_price,rate_good_for,cancel_fee,rate_end,renewable_energy,comments,provider,rate_type,retrieval_date
Amherst GREEN Default Small Commercial,$0.08880,4/1/2025,Amherst Community Power,Fixed,No,866-968-8065,No,6 months,No,"October, 2025 *Last meter read*",26.20 %,Stable rate program offered by Standard Power open to customers in Amherst. Go to https://StandardPower.com/Communities/Amherst/ for more information and to sign up.,Eversource,SmallCommercialCompare,2025-04-22
Swanzey 100,$0.13900,4/1/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Adds voluntary renewable energy (NH Class I RECs) to total 100%.,Eversource,ResidentialCompare,2025-04-22
Rollinsford GREEN Default,$0.08880,4/1/2025,Rollinsford Community Power,Fixed,No,866-968-8065,No,7 months,No,"November, 2025 *Last meter read*",26.20 %,Stable rate program offered by Standard Power open to customers in Rollinsford. Go to https://StandardPower.com/Communities/Rollinsford/ for more information and to sign up.,Eversource,ResidentialCompare,2025-04-22
Rollinsford GREEN 100%,$0.11950,4/1/2025,Rollinsford Community Power,Fixed,No,866-968-8065,No,7 months,No,"November, 2025 *Last meter read*",100.00 %,Stable rate program offered by Standard Power open to customers in Rollinsford. Go to https://StandardPower.com/Communities/Rollinsford/ for more information and to sign up.,Eversource,ResidentialCompare,2025-04-22
Rollinsford GREEN 50%,$0.10300,4/1/2025,Rollinsford Community Power,Fixed,No,866-968-8065,No,7 months,No,"November, 2025 *Last meter read*",50.00 %,Stable rate program offered by Standard Power open to customers in Rollinsford. Go to https://StandardPower.com/Communities/Rollinsford/ for more information and to sign up.,Eversource,ResidentialCompare,2025-04-22
SmartEnergy -  Web Only Rate,$0.10780,3/17/2025,SmartEnergy,Fixed,No,1-800-760-1207,No,6 months,No,*Last meter read*,100.00 %,Enjoy 6 months of Fixed Rate!,Eversource,ResidentialCompare,2025-04-22
Swanzey Standard - Commercial,$0.11471,4/1/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-04-22
Swanzey 100 - Commerical,$0.13900,4/1/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-04-22
Swanzey 50 - Commercial,$0.12050,4/1/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-04-22
Swanzey 50,$0.12050,4/1/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Adds voluntary renewable energy (NH Class I RECs) to total 50%.,Eversource,ResidentialCompare,2025-04-22
Swanzey Basic - Commercial,$0.11100,4/1/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-04-22
Swanzey Standard,$0.11471,4/1/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-04-22
Swanzey Basic,$0.11100,4/1/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Meets state minimum renewable energy requirements.,Eversource,ResidentialCompare,2025-04-22
Think Basic 6,$0.08900,4/10/2025,Think Energy,Fixed,No,1-833-669-3080,No,6 months,No,*Last meter read*,0.00 %,Environmental Donation Available. Contact Think for details.,Eversource,ResidentialCompare,2025-04-22
Jaffrey BASIC,$0.10568,4/1/2025,Jaffrey Community Power,Fixed,No,1-888-875-1711,No,20 months,No,"November, 2025 *Last meter read*",24.30 %,Stable rate program offered by Standard Power open to customers in Jaffrey. Go to https://JaffreyCommunityPower.com for more information and to sign up.,Eversource,ResidentialCompare,2025-04-22
Think Clean 12,$0.12500,3/31/2025,Think Energy,Fixed,No,1-833-669-3080,No,12 months,No,*Last meter read*,100.00 %,Think Clean 12,Eversource,ResidentialCompare,2025-04-22
