visibility,valid,humidity,humidity_S,wind,barometricPressure,validTimeLocal,validTimeUtc,temperature_S,temperature,high,low,feelsLikeTemperature,feelsLikeTemperature_S,dewPoint,shortDescription,description,icon,iconCode,lastUpdated,sunsetTime,sunriseTime,city_name,latitude,longitude
10,True,56,56,W 14 mph,29.76,2025-02-26T11:55:36-0500,1740588936,43,43,48,33,36,36,29,Cloudy,Cloudy,07,26,2025-01-26 11:55:00,05:30 PM,06:25 AM,Alton,43.46,-71.22
10,True,46,46,WNW 13 mph,29.79,2025-02-26T11:56:51-0500,1740589011,48,48,51,38,43,43,29,Cloudy,Cloudy,07,26,2025-01-26 11:56:00,05:32 PM,06:26 AM,Amherst,42.86,-71.62
10,True,50,50,WNW 11 mph,29.81,2025-02-26T12:00:23-0500,1740589223,45,45,51,36,39,39,28,Cloudy,Cloudy,07,26,2025-01-26 12:00:00,05:33 PM,06:28 AM,Antrim,43.04,-71.95
10,True,54,54,WNW 16 mph,29.77,2025-02-26T11:51:14-0500,1740588674,45,45,47,34,37,37,29,Cloudy,Cloudy,07,26,2025-01-26 11:51:00,05:31 PM,06:27 AM,Ashland,43.7,-71.63
3,True,59,59,WNW 30 mph,29.74,2025-02-26T12:00:24-0500,1740589224,43,43,48,34,33,33,30,M Cldy/Wind,Mostly Cloudy/Wind,06,28,2025-01-26 12:00:00,05:29 PM,06:26 AM,Bartlett,44.07,-71.28
10,True,59,59,W 13 mph,29.77,2025-02-26T11:56:29-0500,1740588989,42,42,49,32,36,36,29,Cloudy,Cloudy,07,26,2025-01-26 11:56:00,05:31 PM,06:26 AM,Belmont,43.44,-71.48
10,True,50,50,W 12 mph,29.81,2025-02-26T11:57:10-0500,1740589030,45,45,51,37,40,40,28,Cloudy,Cloudy,07,26,2025-01-26 11:57:00,05:33 PM,06:28 AM,Bennington,43.0,-71.92
10,True,68,68,WNW 17 mph,29.77,2025-02-26T12:00:25-0500,1740589225,37,37,48,33,27,27,27,Cloudy,Cloudy,07,26,2025-01-26 12:00:00,05:29 PM,06:27 AM,Berlin city,44.49,-71.26
10,True,71,71,WNW 11 mph,29.81,2025-02-26T11:57:44-0500,1740589064,37,37,49,32,29,29,28,Cloudy,Cloudy,07,26,2025-01-26 11:57:00,05:31 PM,06:28 AM,Bethlehem,44.28,-71.69
10,True,55,55,WNW 15 mph,29.8,2025-02-26T11:54:47-0500,1740588887,42,42,47,34,34,34,27,Cloudy,Cloudy,07,26,2025-01-26 11:54:00,05:33 PM,06:29 AM,Blodgett Landing,43.38,-72.04
10,True,54,54,WNW 12 mph,29.8,2025-02-26T12:00:27-0500,1740589227,44,44,50,35,38,38,29,Cloudy,Cloudy,07,26,2025-01-26 12:00:00,05:33 PM,06:28 AM,Bradford,43.27,-71.96
10,True,59,59,W 13 mph,29.78,2025-02-26T11:58:58-0500,1740589138,41,41,47,33,34,34,28,Cloudy,Cloudy,07,26,2025-01-26 11:58:00,05:32 PM,06:28 AM,Bristol,43.6,-71.75
10,True,65,65,WNW 15 mph,29.8,2025-02-26T11:53:25-0500,1740588805,40,40,46,33,32,32,29,Cloudy,Cloudy,07,26,2025-01-26 11:53:00,05:33 PM,06:29 AM,Canaan,43.65,-72.02
10,True,49,49,W 14 mph,29.74,2025-02-26T11:55:37-0500,1740588937,47,47,50,34,41,41,28,Cloudy,Cloudy,07,26,2025-01-26 11:55:00,05:29 PM,06:25 AM,Center Ossipee,43.75,-71.15
10,True,61,61,W 20 mph,29.75,2025-02-26T11:51:02-0500,1740588662,42,42,46,35,33,33,30,M Cldy/Wind,Mostly Cloudy/Wind,06,28,2025-01-26 11:51:00,05:30 PM,06:27 AM,Center Sandwich,43.81,-71.44
10,True,54,54,WNW 14 mph,29.83,2025-02-26T11:55:39-0500,1740588939,44,44,47,36,38,38,29,Cloudy,Cloudy,07,26,2025-01-26 11:55:00,05:35 PM,06:30 AM,Charlestown,43.24,-72.42
10,True,60,60,WNW 14 mph,29.82,2025-02-26T11:55:13-0500,1740588913,42,42,46,34,35,35,29,Cloudy,Cloudy,07,26,2025-01-26 11:55:00,05:34 PM,06:30 AM,Claremont city,43.38,-72.34
8,True,81,81,NW 8 mph,29.8,2025-02-26T11:50:36-0500,1740588636,33,33,48,33,26,26,28,Cloudy,Cloudy,07,26,2025-01-26 11:50:00,05:29 PM,06:28 AM,Colebrook,44.89,-71.49
10,True,51,51,W 11 mph,29.79,2025-02-26T11:57:53-0500,1740589073,46,46,50,31,41,41,29,Cloudy,Cloudy,07,26,2025-01-26 11:57:00,05:31 PM,06:27 AM,Concord city,43.23,-71.56
10,True,52,52,W 11 mph,29.79,2025-02-26T11:57:41-0500,1740589061,46,46,50,31,40,40,29,Cloudy,Cloudy,07,26,2025-01-26 11:57:00,05:32 PM,06:27 AM,Contoocook,43.22,-71.71
10,True,51,51,WNW 20 mph,29.73,2025-02-26T11:53:31-0500,1740588811,46,46,51,31,38,38,29,M Cldy/Wind,Mostly Cloudy/Wind,06,28,2025-01-26 11:53:00,05:29 PM,06:26 AM,Conway,43.98,-71.13
9,True,43,43,WNW 15 mph,29.78,2025-02-26T11:50:40-0500,1740588640,48,48,49,35,42,42,27,M Cloudy,Mostly Cloudy,06,28,2025-01-26 11:50:00,05:30 PM,06:25 AM,Derry,42.89,-71.28
10,True,47,47,W 13 mph,29.75,2025-02-26T11:55:34-0500,1740588934,49,49,51,33,44,44,29,M Cloudy,Mostly Cloudy,06,28,2025-01-26 11:55:00,05:29 PM,06:24 AM,Dover city,43.19,-70.88
10,True,46,46,W 13 mph,29.75,2025-02-26T11:53:38-0500,1740588818,49,49,51,33,43,43,29,M Cloudy,Mostly Cloudy,06,28,2025-01-26 11:53:00,05:29 PM,06:24 AM,Durham,43.14,-70.92
10,True,44,44,WNW 16 mph,29.79,2025-02-26T11:55:21-0500,1740588921,50,50,51,35,44,44,29,Cloudy,Cloudy,07,26,2025-01-26 11:55:00,05:31 PM,06:26 AM,East Merrimack,42.87,-71.48
10,True,65,65,NW 14 mph,29.81,2025-02-26T11:54:19-0500,1740588859,40,40,45,33,33,33,30,Cloudy,Cloudy,07,26,2025-01-26 11:54:00,05:33 PM,06:29 AM,Enfield,43.64,-72.15
9,True,44,44,WNW 14 mph,29.76,2025-02-26T11:51:32-0500,1740588692,49,49,52,34,43,43,28,P Cloudy,Partly Cloudy,35,30,2025-01-26 11:51:00,05:30 PM,06:24 AM,Epping,43.03,-71.09
9,True,43,43,W 13 mph,29.76,2025-02-26T11:52:56-0500,1740588776,50,50,53,33,45,45,28,P Cloudy,Partly Cloudy,35,30,2025-01-26 11:52:00,05:29 PM,06:24 AM,Exeter,42.98,-70.95
10,True,55,55,W 13 mph,29.75,2025-02-26T11:58:00-0500,1740589080,44,44,48,34,38,38,29,Cloudy,Cloudy,07,26,2025-01-26 11:58:00,05:29 PM,06:25 AM,Farmington,43.4,-71.07
10,True,54,54,WNW 15 mph,29.78,2025-02-26T11:52:17-0500,1740588737,44,44,49,33,37,37,29,Cloudy,Cloudy,07,26,2025-01-26 11:52:00,05:31 PM,06:27 AM,Franklin city,43.45,-71.67
10,True,50,50,W 10 mph,29.79,2025-02-26T11:58:01-0500,1740589081,47,47,50,34,42,42,29,Cloudy,Cloudy,07,26,2025-01-26 11:58:00,05:32 PM,06:27 AM,Goffstown,43.02,-71.6
10,True,75,75,WNW 23 mph,29.75,2025-02-26T11:51:58-0500,1740588718,39,39,50,35,28,28,31,Cloudy/Wind,Cloudy/Wind,07,26,2025-01-26 11:51:00,05:28 PM,06:26 AM,Gorham,44.39,-71.19
10,True,48,48,WNW 15 mph,29.8,2025-02-26T11:51:05-0500,1740588665,45,45,50,36,39,39,27,Cloudy,Cloudy,07,26,2025-01-26 11:51:00,05:33 PM,06:27 AM,Greenville,42.77,-71.8
10,True,70,70,WNW 9 mph,29.79,2025-02-26T11:58:07-0500,1740589087,37,37,48,34,31,31,29,Cloudy,Cloudy,07,26,2025-01-26 11:58:00,05:30 PM,06:28 AM,Groveton,44.6,-71.52
10,True,44,44,W 13 mph,29.76,2025-02-26T12:00:18-0500,1740589218,50,50,50,36,45,45,29,M Cloudy,Mostly Cloudy,06,28,2025-01-26 12:00:00,05:29 PM,06:23 AM,Hampton,42.94,-70.83
9,True,45,45,W 15 mph,29.76,2025-02-26T11:52:18-0500,1740588738,49,49,50,36,43,43,29,P Cloudy,Partly Cloudy,35,30,2025-01-26 11:52:00,05:29 PM,06:23 AM,Hampton Beach,42.91,-70.81
10,True,50,50,WNW 11 mph,29.81,2025-02-26T11:58:49-0500,1740589129,45,45,51,36,39,39,27,Cloudy,Cloudy,07,26,2025-01-26 11:58:00,05:33 PM,06:28 AM,Hancock,42.97,-71.98
10,True,61,61,NW 13 mph,29.82,2025-02-26T11:51:07-0500,1740588667,43,43,46,31,36,36,31,M Cloudy,Mostly Cloudy,06,28,2025-01-26 11:51:00,05:34 PM,06:30 AM,Hanover,43.71,-72.28
9,True,51,51,W 11 mph,29.8,2025-02-26T12:00:20-0500,1740589220,46,46,51,34,41,41,29,Cloudy,Cloudy,07,26,2025-01-26 12:00:00,05:32 PM,06:28 AM,Henniker,43.18,-71.82
10,True,51,51,WNW 14 mph,29.8,2025-02-26T11:54:34-0500,1740588874,45,45,51,36,39,39,28,Cloudy,Cloudy,07,26,2025-01-26 11:54:00,05:33 PM,06:28 AM,Hillsborough,43.11,-71.9
10,True,47,47,WNW 14 mph,29.84,2025-02-26T11:56:21-0500,1740588981,46,46,50,31,40,40,27,M Cloudy,Mostly Cloudy,06,28,2025-01-26 11:56:00,05:35 PM,06:30 AM,Hinsdale,42.79,-72.49
10,True,48,48,W 11 mph,29.78,2025-02-26T11:58:47-0500,1740589127,47,47,50,35,43,43,29,Cloudy,Cloudy,07,26,2025-01-26 11:58:00,05:31 PM,06:26 AM,Hooksett,43.09,-71.46
9,True,47,47,WNW 16 mph,29.79,2025-02-26T11:54:19-0500,1740588859,49,49,51,36,43,43,29,M Cloudy,Mostly Cloudy,06,28,2025-01-26 11:54:00,05:31 PM,06:26 AM,Hudson,42.76,-71.43
10,True,51,51,WNW 10 mph,29.8,2025-02-26T11:58:32-0500,1740589112,44,44,49,35,38,38,27,Cloudy,Cloudy,07,26,2025-01-26 11:58:00,05:33 PM,06:28 AM,Jaffrey,42.81,-72.02
