datetime,location,incident_number,details,retrieval_date
03/17/2025 00:05,Union St / Merrimack St,25019064,TRAFFIC STOP,2025-03-18
03/17/2025 15:25,Maple St / Spruce St,25019229,ACCIDENT,2025-03-18
03/17/2025 14:48,165 Second St,25019219,TRESPASSING,2025-03-18
03/17/2025 14:48,435 Lincoln St,25019218,LOST PROPERTY,2025-03-18
03/17/2025 14:49,Union St / Auburn St,25019223,STOLEN MOTOR VEHICLE,2025-03-18
03/17/2025 14:50,495 Shasta St,25019220,UNWANTED SUBJECT,2025-03-18
03/17/2025 14:52,332 Hanover St,25019221,BURGLARY,2025-03-18
03/17/2025 14:56,Kelley St / Joliette St,25019222,TRAFFIC STOP,2025-03-18
03/17/2025 15:05,26 Dubuque St,25019224,CIVIL ISSUE,2025-03-18
03/17/2025 15:07,909 Elm St: @SHASKEEN  PUB,25019225,ACCIDENT HIT AND RUN,2025-03-18
03/17/2025 15:18,Granite St / West St,25019226,ACCIDENT,2025-03-18
03/17/2025 15:20,592 Pine St,25019227,CHECK CONDITION OF SUBJECT,2025-03-18
03/17/2025 15:23,Maple St / Spruce St,25019228,ACCIDENT,2025-03-18
03/17/2025 15:25,60 Rogers St: @60 ROGERS MILL BUILDING,25019230,MENTAL HEALTH ISSUE,2025-03-18
03/17/2025 15:26,242 Pearl St,25019231,KIDS PROBLEM,2025-03-18
03/17/2025 16:02,400 S Taylor St,25019245,IDENTITY THEFT,2025-03-18
03/17/2025 15:29,116 March Ave: @TJ MAXX,25019232,ACCIDENT HIT AND RUN,2025-03-18
03/17/2025 15:30,70 W River Dr: @COLONIAL VILLAGE #70,25019235,VIOLATION OF BAIL,2025-03-18
03/17/2025 15:31,0 Eddy Rd Amoskeag Traffic Circle W,25019233,ACCIDENT,2025-03-18
03/17/2025 15:34,107 DERRYFIELD CT,25019234,ANIMAL BITES,2025-03-18
03/17/2025 15:39,732 Montgomery St,25019236,WEAPON POSSESSION AND CARRYING,2025-03-18
03/17/2025 15:42,37 Mead St,25019237,STALKING,2025-03-18
03/17/2025 15:46,321 Elm St: @ANTIQUES ON ELM,25019238,CHECK VEHICLE,2025-03-18
03/17/2025 15:47,311 Taylor St,25019240,CHECK CONDITION OF SUBJECT,2025-03-18
03/17/2025 15:48,39 BEECH ST: @Beech St Shelter,25019239,SPECIAL ATTENTION,2025-03-18
03/17/2025 15:52,Merrimack St / Maple St,25019241,ACCIDENT HIT&RUN W/INJURY,2025-03-18
03/17/2025 15:53,Maple St / Merrimack St,25019243,HANGUP CALL,2025-03-18
03/17/2025 15:53,60 Rogers St: @CMC DOORWAYS (60 ROGERS MILL BUILDI,25019244,HANGUP CALL,2025-03-18
03/17/2025 14:43,435 Union St,25019217,HOMELESS ISSUES,2025-03-18
03/17/2025 14:42,332 Pearl St: @PEARL ST SCHOOL APTS,25019216,THEFT,2025-03-18
03/17/2025 14:37,625 Hooksett Rd: @BONNEVILLE AND SON,25019215,HANGUP CALL,2025-03-18
03/17/2025 14:29,Union St / Auburn St,25019213,STOLEN MOTOR VEHICLE,2025-03-18
03/17/2025 12:36,2 WALL ST: @Genoa Health Care 2 Wall St (OFFICE BL,25019187,HANGUP CALL,2025-03-18
03/17/2025 12:37,1097 Elm St: @MCGARVEYS,25019189,CRIMINAL THREATENING,2025-03-18
03/17/2025 12:42,405 Valley St: @MPD,25019188,ADMINISTRATIVE MISC,2025-03-18
03/17/2025 12:47,405 VALLEY ST: @MPD,25019190,ADMINISTRATIVE MISC,2025-03-18
03/17/2025 12:48,38 Edgemere Ave,25019191,ADDED INFO TO PREVIOUS CASE,2025-03-18
03/17/2025 12:50,9 Notre Dame Ave: @WEST HIGH SCHOOL,25019192,SPECIAL ATTENTION,2025-03-18
