datetime,location,incident_number,details,retrieval_date
03/09/2025 00:08,Chestnut St / Lake Ave,25016882,TRAFFIC STOP,2025-03-10
03/09/2025 16:38,199 manchester st,25017036,SPECIAL ATTENTION,2025-03-10
03/09/2025 16:02,39 BEECH ST: @Beech St Shelter,25017025,SPECIAL ATTENTION,2025-03-10
03/09/2025 16:04,YDC,25017026,SPECIAL ATTENTION,2025-03-10
03/09/2025 16:05,159 Orange St,25017028,CHECK CONDITION OF SUBJECT,2025-03-10
03/09/2025 16:13,159 Orange St,25017029,CHECK CONDITION OF SUBJECT,2025-03-10
03/09/2025 16:21,1071 S Willow St: @DAVES HOT CHICKEN,25017030,ACCIDENT HIT AND RUN,2025-03-10
03/09/2025 16:22,61 ELM ST: @MOAM TOWING,25017031,SPECIAL ATTENTION,2025-03-10
03/09/2025 16:27,44 Welch Ave,25017032,CHECK AREA FOR PROBLEM,2025-03-10
03/09/2025 16:30,1531 ELM ST: @PAPPY'S PIZZA,25017034,BUSINESS CHECK,2025-03-10
03/09/2025 16:31,217 UNION ST: @Brothers Express,25017033,BUSINESS CHECK,2025-03-10
03/09/2025 16:36,CONANT ST / DUBUQUE ST,25017035,HOTSPOT PATROL,2025-03-10
03/09/2025 16:37,169 Pine St,25017037,CHECK CONDITION OF SUBJECT,2025-03-10
03/09/2025 16:43,Cilley Rd / S Beech St,25017038,TRAFFIC STOP,2025-03-10
03/09/2025 17:45,Elm St / Concord St,25017051,TRAFFIC STOP,2025-03-10
03/09/2025 16:51,CONANT ST / MAIN ST,25017039,DISABLED MOTOR VEHICLE,2025-03-10
03/09/2025 16:53,2 S Beech St: @uAROMA JOES S BEECH ST,25017040,UNWANTED SUBJECT,2025-03-10
03/09/2025 16:55,199 Manchester St: @FIT - FAMLIES IN TRANSITION,25017041,FIGHT,2025-03-10
03/09/2025 16:55,196 Laurel St,25017043,CRIMINAL THREATENING,2025-03-10
03/09/2025 17:00,1500 S. Willow St: @Mall of NH,25017042,ACCIDENT HIT AND RUN,2025-03-10
03/09/2025 17:21,45 Canton St,25017045,HOMELESS ISSUES,2025-03-10
03/09/2025 17:22,39 Beech St: @Beech St Shelter,25017044,CHECK SUBJECT,2025-03-10
03/09/2025 17:26,Hanover St / Chestnut St,25017046,TRAFFIC STOP,2025-03-10
03/09/2025 17:28,Valley St / Willow St,25017047,TRAFFIC STOP,2025-03-10
03/09/2025 17:31,1111 S Willow St: @ALDIS (1111 S WILLOW ST SHOPPIN,25017048,HOMELESS ISSUES,2025-03-10
03/09/2025 17:36,273 CEDAR ST,25017049,CHECK AREA FOR PROBLEM,2025-03-10
03/09/2025 15:58,315 Kimball St,25017024,HOMELESS ISSUES,2025-03-10
03/09/2025 15:51,386 Union St: @GRANITE STATE LAUNDRY,25017023,THEFT,2025-03-10
03/09/2025 15:49,201 John E Devine Dr: @HANNAFORD JOHN E DEVINE DR,25017022,ALARM PANIC,2025-03-10
03/09/2025 15:38,300 HANOVER ST: @UNEMPLOYMENT OFFICE,25017020,SPECIAL ATTENTION,2025-03-10
03/09/2025 12:58,39 Beech St: @Beech St Shelter,25016995,OVERDOSE,2025-03-10
03/09/2025 12:59,434 Lake Ave: @LAKE AVE SUBSTATION,25016997,ALARM BURGLARY,2025-03-10
03/09/2025 13:26,725 Gold St: @WALMART,25016998,INVOLUNTARY EMERG. ADMISSION,2025-03-10
03/09/2025 13:30,Chestnut St / High St,25016999,CHECK CONDITION OF SUBJECT,2025-03-10
03/09/2025 13:38,Dutton St / Chester St,25017002,SUSPICIOUS ACTIVITY,2025-03-10
03/09/2025 13:40,725 Gold St: @WALMART,25017001,INVOLUNTARY EMERG. ADMISSION,2025-03-10
03/09/2025 13:42,1528 Elm St: @RINES CENTER,25017003,ALARM BURGLARY,2025-03-10
03/09/2025 13:43,1500 S Willow St: @Mall of NH (Mall of New Hampshi,25017004,CHECK CONDITION OF SUBJECT,2025-03-10
03/09/2025 13:49,60 Orange St,25017006,CHECK SUBJECT,2025-03-10
03/09/2025 14:03,Valley St / Union St,25017007,TRAFFIC STOP,2025-03-10
03/09/2025 14:04,460 Elm St: @MARKET BASKET,25017008,ACCIDENT HIT AND RUN,2025-03-10
03/09/2025 14:06,2 Plaza Dr: @PLAZA GARAGE,25017009,KIDS PROBLEM,2025-03-10
03/09/2025 14:07,456 Union St: @1269 CAFE,25017010,UNWANTED SUBJECT,2025-03-10
03/09/2025 14:21,675 S Willow St: @WENDY'S S WILLOW ST,25017011,KIDS PROBLEM,2025-03-10
03/09/2025 14:31,UNION ST / PINECREST RD,25017012,CHECK SUBJECT,2025-03-10
03/09/2025 14:40,606 Valley St: @WALGREENS VALLEY ST,25017013,THEFT,2025-03-10
03/09/2025 14:42,199 Manchester St: @FIT - FAMLIES IN TRANSITION,25017014,FIGHT,2025-03-10
03/09/2025 14:45,236 Douglas St,25017015,ACCIDENT,2025-03-10
03/09/2025 14:48,159 S Wilson St,25017016,STALKING,2025-03-10
03/09/2025 15:13,320 Dubuque St,25017017,KIDS PROBLEM,2025-03-10
03/09/2025 15:17,39 BEECH ST: @Beech St Shelter,25017018,SPECIAL ATTENTION,2025-03-10
03/09/2025 15:29,54 Claremont Ave,25017019,TRESPASSING,2025-03-10
03/09/2025 15:38,57 Bath St,25017021,CHECK CONDITION OF SUBJECT,2025-03-10
03/09/2025 17:42,1079 Hayward St,25017050,UNWANTED SUBJECT,2025-03-10
03/09/2025 17:51,498 Hanover St,25017052,CIVIL ISSUE,2025-03-10
03/09/2025 12:58,205 Whipple St,25016996,ASSAULT,2025-03-10
03/09/2025 22:23,245 Gray St,25017093,CRIMINAL MISCHIEF,2025-03-10
