plan_name,per_kwh,last_update,company_name,pricing,monthly_charge,phone,intro_price,rate_good_for,cancel_fee,rate_end,renewable_energy,comments,provider,rate_type,retrieval_date
Amherst GREEN Default Small Commercial,$0.08880,3/6/2025,Community Power - Town of Amherst,Fixed,No,866-968-8065,No,6 months,No,"October, 2025 *Last meter read*",26.20 %,Stable rate program offered by Standard Power open to customers in Amherst. Go to https://StandardPower.com/Communities/Amherst/ for more information and to sign up.,Eversource,SmallCommercialCompare,2025-03-14
Marlborough Standard - Commercial,$0.11471,2/27/2025,Marlborough Community Power from Town of Marlborough,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default program plan offered by Town of Marlborough. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Marlborough 50 - Commercial,$0.12050,2/27/2025,Marlborough Community Power from Town of Marlborough,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Default program plan offered by Town of Marlborough. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
8 Month Standard Fixed,$0.12590,3/3/2025,"North American Power & Gas, LLC",Fixed,No,877-572-9965,No,8 months,$10.00,*Last meter read*,0.00 %,$10.00 for each month remaining in your contract.,Eversource,ResidentialCompare,2025-03-14
6 Month Standard Fixed,$0.11590,3/11/2025,"North American Power & Gas, LLC",Fixed,No,877-572-9965,No,6 months,$10.00,*Last meter read*,0.00 %,$10.00 for each month remaining in your contract.,Eversource,ResidentialCompare,2025-03-14
8 Month Renewable Fixed,$0.13540,3/3/2025,"North American Power & Gas, LLC",Fixed,No,877-572-9965,No,8 months,$10.00,*Last meter read*,100.00 %,$10.00 for each month remaining in your contract.,Eversource,ResidentialCompare,2025-03-14
SmartEnergy -  Web Only Rate,$0.09800,2/18/2025,SmartEnergy,Fixed,No,1-800-760-1207,No,4 months,No,*Last meter read*,100.00 %,Enjoy 4 months of Fixed Rate!,Eversource,ResidentialCompare,2025-03-14
Swanzey Standard - Commercial,$0.11471,2/27/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Swanzey 50,$0.12050,2/27/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Adds voluntary renewable energy (NH Class I RECs) to total 50%.,Eversource,ResidentialCompare,2025-03-14
Swanzey Basic - Commercial,$0.11100,2/27/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Swanzey 50 - Commercial,$0.12050,2/27/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Swanzey 100 - Commerical,$0.13900,2/27/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Swanzey Standard,$0.11471,2/27/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default option offered by the Town of Swanzey. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Swanzey 100,$0.13900,2/27/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Adds voluntary renewable energy (NH Class I RECs) to total 100%.,Eversource,ResidentialCompare,2025-03-14
Swanzey Basic,$0.11100,2/27/2025,Swanzey Community Power from Town of Swanzey,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Meets state minimum renewable energy requirements.,Eversource,ResidentialCompare,2025-03-14
Think Basic 7,$0.09900,3/7/2025,Think Energy,Fixed,No,1-833-669-3080,No,7 months,No,*Last meter read*,0.00 %,Environmental Donation Available. Contact Think for details.,Eversource,ResidentialCompare,2025-03-14
Think Clean 12,$0.12500,3/1/2025,Think Energy,Fixed,No,1-833-669-3080,No,12 months,No,*Last meter read*,100.00 %,Think Clean 12,Eversource,ResidentialCompare,2025-03-14
Think Clean 36,$0.12500,3/1/2025,Think Energy,Fixed,No,1-833-669-3080,No,36 months,No,*Last meter read*,100.00 %,Think Clean 36,Eversource,ResidentialCompare,2025-03-14
Power Your Tomorrow Fixed - 8,$0.11470,2/25/2025,Town Square Energy,Fixed,No,1-877-430-0093,No,8 months,No,*Last meter read*,0.00 %,8 monthly bill cycles fixed at 11.47 cents/kWh. See full terms in terms of service.,Eversource,ResidentialCompare,2025-03-14
Power Your Tomorrow Fixed - 20,$0.13470,2/25/2025,Town Square Energy,Fixed,No,1-877-430-0093,No,20 months,No,*Last meter read*,0.00 %,20 monthly bill cycles fixed at 13.47 cents/kWh. See full terms in terms of service.,Eversource,ResidentialCompare,2025-03-14
Wilton 50,$0.12050,2/27/2025,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Includes voluntary renewable energy (NH Class I RECs) to total 50% renewable energy.,Eversource,ResidentialCompare,2025-03-14
Wilton Standard,$0.11471,2/27/2025,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default program option offered by Town of Wilton. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Wilton 100 - Commercial,$0.13900,2/27/2025,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Default program option offered by Town of Wilton. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Wilton Standard Commercial,$0.11471,2/27/2025,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default program option offered by Town of Wilton. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Wilton Basic - Commercial,$0.11100,2/27/2025,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Default program option offered by Town of Wilton. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Marlborough Basic - Commercial,$0.11100,2/27/2025,Marlborough Community Power from Town of Marlborough,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Default program plan offered by Town of Marlborough. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Marlborough Basic,$0.11100,2/27/2025,Marlborough Community Power from Town of Marlborough,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Meets state minimum renewable energy requirements.,Eversource,ResidentialCompare,2025-03-14
Clean 100,$0.13100,3/10/2025,Community Power Coalition of New Hampshire,Fixed,No,1-866-603-7697,No,5 months,No,"July, 2025 *Last meter read*",100.00 %,visit www.communitypowernh.gov to see if city or town has implemented Community Power with the Coalition,Eversource,ResidentialCompare,2025-03-14
Marlborough 50,$0.12050,2/27/2025,Marlborough Community Power from Town of Marlborough,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Includes voluntary renewable energy above state required minimum to total 50%.,Eversource,ResidentialCompare,2025-03-14
Peterborough Local,$0.10400,3/10/2025,Community Power Coalition of New Hampshire,Fixed,No,1-866-603-7697,No,5 months,No,"July, 2025 *Last meter read*",25.20 %,This rate is available to Peterborough Community Power Customers.,Eversource,ResidentialCompare,2025-03-14
Go Green Lights 24,$0.13590,3/3/2025,"Direct Energy Services, LLC",Fixed,No,888-836-6141,No,24 months,No,*Last meter read*,100.00 %,Green Energy. Rate plan is available for new customers only.,Eversource,ResidentialCompare,2025-03-14
Live Brighter AE 7,$0.09890,3/3/2025,"Direct Energy Services, LLC",Fixed,No,888-836-6141,No,8 months,No,*Last meter read*,0.00 %,Rate plan is available for new customers only.,Eversource,ResidentialCompare,2025-03-14
Live Brighter SS 7,$0.09990,3/3/2025,"Direct Energy Services, LLC",Fixed,No,888-836-6141,No,8 months,No,*Last meter read*,0.00 %,Rate plan is available for new customers only.,Eversource,ResidentialCompare,2025-03-14
Live Brighter 12,$0.12990,3/3/2025,"Direct Energy Services, LLC",Fixed,No,888-836-6141,No,12 months,No,*Last meter read*,0.00 %,Rate plan is available for new customers only.,Eversource,ResidentialCompare,2025-03-14
Live Brighter TO 7,$0.10490,3/3/2025,"Direct Energy Services, LLC",Fixed,No,888-836-6141,No,8 months,No,*Last meter read*,0.00 %,Rate plan is available for new customers only.,Eversource,ResidentialCompare,2025-03-14
Live Brighter 24,$0.13090,3/3/2025,"Direct Energy Services, LLC",Fixed,No,888-836-6141,No,24 months,No,*Last meter read*,0.00 %,Rate plan is available for new customers only.,Eversource,ResidentialCompare,2025-03-14
Live Brighter AE 12,$0.12390,3/3/2025,"Direct Energy Services, LLC",Fixed,No,888-836-6141,No,12 months,No,*Last meter read*,0.00 %,Rate plan is available for new customers only.,Eversource,ResidentialCompare,2025-03-14
Simple Power 12 - Residential,$0.12190,3/11/2025,ENH Power,Fixed,No,1-800-549-6160,No,12 months,$100.00,*Last meter read*,0.00 %,Are you looking for a fixed rate energy plan? This plan is for you. Enjoy 12 months of a fixed rate with no monthly service fee and a $100 early termination fee.,Eversource,ResidentialCompare,2025-03-14
Optional Green 100,$0.12918,3/4/2025,Hampton Community Power Aggregation,Fixed,No,1-866-485-5858,No,8 months,No,"November, 2025 *Last meter read*",100.00 %,"Available only to residential customers located in Hampton, NH",Eversource,ResidentialCompare,2025-03-14
Optional Green 33,$0.10798,3/4/2025,Hampton Community Power Aggregation,Fixed,No,1-866-485-5858,No,8 months,No,"November, 2025 *Last meter read*",57.30 %,"Available only to residential customers located in Hampton, NH",Eversource,ResidentialCompare,2025-03-14
Standard,$0.09425,3/4/2025,Hampton Community Power Aggregation,Fixed,No,1-866-485-5858,No,8 months,No,"November, 2025 *Last meter read*",24.30 %,"Available only to residential customers located in Hampton, NH",Eversource,ResidentialCompare,2025-03-14
Keene Local Green - Commercial,$0.11471,2/27/2025,Keene Community Power from City of Keene,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default option offered by the City of Keene. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Keene Basic - Commercial,$0.11100,2/27/2025,Keene Community Power from City of Keene,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Default option offered by the City of Keene. Includes 10% more renewable energy from Class I sources than required by state law,Eversource,ResidentialCompare,2025-03-14
Keene Local Green,$0.11470,2/27/2025,Keene Community Power from City of Keene,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default option offered by the City of Keene. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Keene 50% Local Green - Commercial,$0.12050,2/27/2025,Keene Community Power from City of Keene,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Meets state minimum renewable energy requirements.,Eversource,ResidentialCompare,2025-03-14
Keene 100% Local Green - Commercial,$0.13900,2/27/2025,Keene Community Power from City of Keene,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Adds voluntary renewable energy (NH Class I RECs) to total 100%.,Eversource,ResidentialCompare,2025-03-14
Keene Basic,$0.11100,2/27/2025,Keene Community Power from City of Keene,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Meets state minimum renewable energy requirements,Eversource,ResidentialCompare,2025-03-14
Keene 50% Local Green,$0.12050,2/27/2025,Keene Community Power from City of Keene,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Adds voluntary renewable energy (NH Class I RECs) to total 50%,Eversource,ResidentialCompare,2025-03-14
Keene 100% Local Green,$0.13900,2/27/2025,Keene Community Power from City of Keene,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Adds voluntary renewable energy (NH Class I RECs) to total 100%.,Eversource,ResidentialCompare,2025-03-14
Marlborough 100 - Commercial,$0.13900,2/27/2025,Marlborough Community Power from Town of Marlborough,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Default program plan offered by Town of Marlborough. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Marlborough 100,$0.13900,2/27/2025,Marlborough Community Power from Town of Marlborough,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",100.00 %,Includes voluntary renewable energy above state required minimum to total 100%.,Eversource,ResidentialCompare,2025-03-14
Marlborough Standard,$0.11471,2/27/2025,Marlborough Community Power from Town of Marlborough,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",33.40 %,Default program plan offered by Town of Marlborough. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Wilton 50 - Commercial,$0.12050,2/27/2025,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",50.00 %,Default program option offered by Town of Wilton. Includes 10% more renewable energy from Class I sources than required by state law.,Eversource,ResidentialCompare,2025-03-14
Wilton Basic,$0.11100,2/27/2025,Wilton Community Power from Town of Wilton,Fixed,No,1-866-968-8065,No,30 months,No,"December, 2025 *Last meter read*",23.40 %,Meets state minimum renewable energy requirements.,Eversource,ResidentialCompare,2025-03-14
