datetime,location,incident_number,details,retrieval_date
12/11/2024 00:06,252 Willow St: @FACTORY ON WILLOW,24097672,LOCKOUTS,2024-12-12
12/11/2024 15:36,316 Spruce St,24097815,HARRASSMENT,2024-12-12
12/11/2024 14:51,312 Cartier St,24097804,HANGUP CALL,2024-12-12
12/11/2024 14:54,161 Joliette St,24097805,ATTEMPTED SUICIDE,2024-12-12
12/11/2024 15:04,680 Huse Rd,24097807,CHECK CONDITION OF SUBJECT,2024-12-12
12/11/2024 15:04,99 KELLEY ST,24097806,CHECK AREA FOR PROBLEM,2024-12-12
12/11/2024 15:07,149 Michigan Ave,24097808,CHECK CONDITION OF SUBJECT,2024-12-12
12/11/2024 15:09,100 Hitchcock Way: @HITCHCOCK CLINIC,24097809,HANGUP CALL,2024-12-12
12/11/2024 15:23,32 Omalley St,24097810,ARGUMENT,2024-12-12
12/11/2024 15:28,Beech St / Auburn St,24097811,CHECK AREA FOR PROBLEM,2024-12-12
12/11/2024 15:31,Kelley St / Dubuque St,24097812,BROADCAST MESSAGE,2024-12-12
12/11/2024 15:36,333 Allard Dr: @ALPHABITS LEARNING CENTER ALLARD D,24097813,CHECK AREA FOR PROBLEM,2024-12-12
12/11/2024 15:37,84 Karatzas Ave: @SIDERAS TERRACE APTS #84,24097814,THEFT,2024-12-12
12/11/2024 14:47,39 Beech St: @Beech St Shelter,24097802,UNWANTED SUBJECT,2024-12-12
12/11/2024 15:40,28 S Beech St,24097816,ASSAULT,2024-12-12
12/11/2024 15:50,Chestnut St / Lowell St,24097818,MISSING KID UNDER 12 YOA,2024-12-12
12/11/2024 15:51,176 Varney St,24097817,OVERDOSE,2024-12-12
12/11/2024 15:56,199 Manchester St: @FIT - FAMLIES IN TRANSITION,24097819,DRUG ACTIVITY,2024-12-12
12/11/2024 16:08,157 Massabesic St: @157 MASSABESIC ST,24097820,CHECK CONDITION OF SUBJECT,2024-12-12
12/11/2024 16:13,216 ELM ST: @DUNKIN DONUTS ELM/VALLEY,24097821,BUSINESS CHECK,2024-12-12
12/11/2024 16:19,288 Auburn St,24097822,ACCIDENT HIT AND RUN,2024-12-12
12/11/2024 16:25,330 PORTER ST,24097823,CHECK CONDITION OF SUBJECT,2024-12-12
12/11/2024 16:27,460 Elm St: @MARKET BASKET,24097824,CHECK AREA FOR PROBLEM,2024-12-12
12/11/2024 16:39,210 EDDY RD: @MOBIL MART,24097825,BUSINESS CHECK,2024-12-12
12/11/2024 14:48,55 S Main St,24097803,MEALS ON WHEELS,2024-12-12
12/11/2024 14:45,725 Gold St: @WALMART,24097801,TRESPASSING,2024-12-12
12/11/2024 00:06,Lincoln St / Cedar St,24097671,HOTSPOT PATROL,2024-12-12
12/11/2024 13:37,VALLEY ST / ELM ST,24097788,TRAFFIC STOP,2024-12-12
12/11/2024 13:12,415 Granite St,24097778,CRIMINAL THREATENING,2024-12-12
